ID,song,artist,track_length,track_popularity,valence,danceability,energy,loudness,tempo
5qyZ6LcHvBiIHLaoED8K4g,Hot (feat. Moneybagg Yo),Meek Mill,150527,59,0.13,0.773,0.623,-5.267,153.1
7eDkIDGKVe5B5RmTiEPiXJ,Expensive Pain,Meek Mill,213749,48,0.554,0.52,0.552,-7.178,172.306
1cHFHTOMDb3zHcDwumFSCw,On My Soul,Meek Mill,141573,51,0.306,0.571,0.525,-7.785,119.205
67lvhLT01Fq3GEIrt5RpPn,Outside (100 MPH),Meek Mill,198590,46,0.315,0.598,0.664,-5.086,149.17
5W8HXMOMLtXLz0RGKUtnlZ,"Last One Standing (feat. Polo G, Mozzy & Eminem) - From Venom: Let There Be Carnage",Skylar Grey,257368,71,0.233,0.664,0.692,-4.128,154.924
308Ir17KlNdlrbVLHWhlLe,The Feels,TWICE,198053,76,0.922,0.808,0.903,-2.179,120.044
4IfJuDOnqRfVVnzsDaqPeL,Me (FWM) (feat. A$AP Ferg),Meek Mill,180000,48,0.584,0.893,0.638,-7.959,79.944
7u5305l9KSUD6hKfpl3QSQ,Love Train,Meek Mill,234666,47,0.808,0.65,0.597,-5.544,90.635
4HTY26kzdGCKJF1EqcRd2J,Feelin' Like Tunechi,Lil Wayne,186059,54,0.529,0.559,0.532,-7.679,85.843
4YFPUYwA9Jmk9xQYCbz3zb,Ride For You (feat. Kehlani),Meek Mill,182250,48,0.307,0.462,0.615,-6.429,90.068
4s7QLoImIwmPi9L6dq1nVW,TSU,Drake,308755,75,0.246,0.568,0.56,-9.059,130.019
4VCbgIdr8ptegWeJpqLVHH,Love All (with JAY-Z),Drake,228461,72,0.155,0.73,0.576,-5.442,92.131
2f2WskmLwsLtGkjntD8NG7,No Where,YoungBoy Never Broke Again,157845,63,0.352,0.657,0.496,-7.346,146.061
2hoR8CosGo9F4dTrE056ea,On My Side,YoungBoy Never Broke Again,148571,56,0.642,0.606,0.671,-7.529,168.201
5QS8PNEWbqTEZyQ6e9ZbJf,Things A Man Oughta Know,Lainey Wilson,203373,75,0.397,0.659,0.683,-5.623,139.931
2TDP5T7TSnD5oVn4Irg585,Hold Me Down,YoungBoy Never Broke Again,178285,54,0.58,0.558,0.635,-7.024,139.575
22mxylGJ4gUVXc70E7BrPJ,50 Shots,YoungBoy Never Broke Again,161308,55,0.668,0.772,0.786,-5.874,78.517
4ysh4U8WPIuKS8Ff1ttSaS,Smoke Strong,YoungBoy Never Broke Again,135000,54,0.873,0.764,0.702,-6.837,85.953
7CK0O8SL6liw5eoHCRAcJf,Break or Make Me,YoungBoy Never Broke Again,192000,59,0.526,0.723,0.549,-6.743,149.991
0UFXtWjUoj6mMOcIhuwKoM,Sincerely,YoungBoy Never Broke Again,174545,53,0.505,0.586,0.516,-7.018,110.343
1BCHhb7Zd9mK4X602uhZi3,I Can't Take It Back,YoungBoy Never Broke Again,177777,53,0.373,0.607,0.565,-7.417,107.981
6KgtcmCF9Ky68XC7ezxl3s,Rumors (feat. Cardi B),Lizzo,172832,69,0.607,0.827,0.731,-5.524,118.992
6nGwQVNLVqjUOPdzqIwB7U,Forgiato,YoungBoy Never Broke Again,188751,52,0.509,0.615,0.633,-7.053,174.075
36Mtea491T9xLpYuaY86EU,Rich Shit,YoungBoy Never Broke Again,155675,49,0.475,0.882,0.644,-8.341,148.133
34D6FJysnQioVingDKufuf,N 2 Deep,Drake,273577,69,0.0744,0.507,0.429,-7.726,91.0
0sr0YMdDTNNr4Lv4VnI3C8,Baddest Thing,YoungBoy Never Broke Again,160000,53,0.721,0.715,0.676,-7.869,73.462
11pEKMLmavDu8fxOB5QjbQ,Pipe Down,Drake,205721,73,0.59,0.518,0.69,-6.15,77.837
6jy9yJfgCsMHdu2Oz4BGKX,Papi’s Home,Drake,178623,70,0.588,0.701,0.741,-6.157,140.177
4JPSK2W012QBtOtO3HJl9E,Toxic Punk,YoungBoy Never Broke Again,123870,57,0.29,0.633,0.534,-8.605,155.111
7CC6UbCs4iGsePSzFxYxNn,Moon,Kanye West,156091,74,0.254,0.319,0.236,-9.644,162.351
1Ov37jtRQ2YNAe8HzfczkL,Wildest Dreams (Taylor's Version),Taylor Swift,220433,87,0.498,0.583,0.67,-7.289,140.061
1Xi84slp6FryDSCbzq4UCD,Arcade,Duncan Laurence,183624,80,0.266,0.45,0.329,-12.603,71.884
6bpq1jGkVz66Q3LYeoXdjZ,SCOOP (feat. Doja Cat),Lil Nas X,174164,67,0.582,0.841,0.527,-8.116,163.975
7zQirOExB0VR8yWUOqYeio,DOLLA SIGN SLIME (feat. Megan Thee Stallion),Lil Nas X,145074,60,0.587,0.923,0.533,-6.016,133.991
6pmNoWKk0r6zfIjWneJRxR,Lonely (with Lil Wayne),DaBaby,154432,64,0.771,0.718,0.628,-5.334,139.769
3grVoZ10bm2jUGpo7BxpuF,DEAD RIGHT NOW,Lil Nas X,221203,59,0.549,0.685,0.717,-6.456,127.963
5S4PZ7AuYlYiVIVik3wHUf,TALES OF DOMINICA,Lil Nas X,146005,64,0.541,0.742,0.734,-5.582,114.952
3JR2RztQcOjUQGQSybxDIO,ONE OF ME (feat. Elton John),Lil Nas X,161666,57,0.561,0.708,0.598,-4.969,144.09
2Q3jFbyE61mCjS3SkW4toJ,Race My Mind,Drake,269883,69,0.783,0.488,0.635,-7.19,174.072
6th8IdY4lYeM0QlSQJhhkp,LOST IN THE CITADEL,Lil Nas X,170322,58,0.472,0.768,0.764,-5.82,92.965
6btdl1Vl6Ta5lUwUSOFW2H,SUN GOES DOWN,Lil Nas X,168034,63,0.123,0.549,0.643,-6.808,174.041
42m3eP1JJhtzffal9B136J,7am On Bridle Path,Drake,239635,65,0.141,0.724,0.531,-4.108,89.901
6LNoArVBBVZzUTUiAX2aKO,Off The Grid,Kanye West,339249,74,0.63,0.546,0.64,-5.582,137.728
4wi3PCbi1XRT07SuaBNhv7,Infrared Skateboard,Star Silk,158048,0,0.474,0.756,0.26,-15.232,81.973
6isTQfKXhNO3EyJd9mSxx8,AM I DREAMING (feat. Miley Cyrus),Lil Nas X,183241,62,0.209,0.629,0.445,-6.999,94.103
4oR2cCQGs0Yt0Mgr2diV6V,What’s Your Country Song,Thomas Rhett,171333,71,0.479,0.359,0.706,-6.151,174.079
0UTyLmkQgPOEIz95OVAJTR,range brothers (with Kendrick Lamar),Baby Keem,316733,64,0.141,0.667,0.582,-5.791,121.972
