real_date_trends_songs,percent_change,NYT_vader,NYT_textblob,NYT_bert,NYT_flair
5/26/20,0.036163811,0.023069863,0.077617411,-0.112893492,-0.115113322
6/2/20,0.063733218,-0.083976647,0.078457931,-0.202764466,-0.047624047
6/9/20,-0.058793527,-0.053472121,0.049610776,-0.174703086,-0.046026447
6/16/20,0.010278508,-0.02168239,0.081110525,-0.137784389,-0.037910779
6/23/20,-0.034215118,-0.15518,0.04547573,-0.311806485,-0.037520774
6/30/20,-0.00481826,0.034586813,0.096546322,-0.112401238,-0.041330492
7/7/20,0.021970025,-0.016104737,0.109972866,-0.060784597,-0.038740476
7/14/20,0.022369943,-0.028159302,0.081450036,-0.183479873,-0.029796384
7/21/20,-0.007633579,-0.063080337,0.019601924,-0.142296535,-0.021245045
7/28/20,-0.001572934,-0.021783425,0.062899279,-0.166277546,-0.012020892
8/4/20,0.036639901,-0.040065644,0.070197787,-0.283094529,-0.299479888
8/11/20,0.01781317,0.005599515,0.124662999,-0.152871321,-0.093082288
8/18/20,-2.47E-05,-0.010955172,0.091275513,-0.089118209,-0.02569917
8/25/20,0.025251039,0.033121579,0.089429291,-0.081615546,-0.116659095
9/1/20,-0.018503333,-0.065904372,0.078196757,-0.149606412,-0.057269097
9/8/20,-0.016904362,-0.054424855,0.096343201,-0.170468261,-0.169520336
9/15/20,-0.000297208,-0.011220725,0.076019549,-0.188482323,-0.116020568
9/22/20,-0.017791297,0.013461404,0.052450896,-0.158838065,-0.146063238
9/29/20,0.018381443,0.042334513,0.064806309,-0.109705856,-0.017845981
10/6/20,0.031626025,-0.031533019,0.046974696,0.007777776,0.004689083
10/13/20,0.000678522,0.06535907,0.072160934,-0.140517872,0.003799553
10/20/20,-0.009554775,-0.066210303,0.081645174,-0.253347825,0.003672952
10/27/20,-0.069202237,0.024954634,0.071408091,-0.094051036,-0.006896221
11/3/20,0.064321374,-0.000921088,0.215730969,-0.350592508,0.465408116
11/10/20,0.039227186,0.143919048,0.113067296,0.006617801,0.112293615
11/17/20,-0.007392491,-0.004048039,0.061368025,-0.033060697,-0.023252384
11/24/20,0.021627616,0.054803409,0.098351472,0.043916033,0.000737683
12/1/20,0.010188873,0.111411728,0.113807694,0.015210632,0.065809932
12/8/20,-0.005720824,0.048823913,0.064376188,-0.154814963,-0.161844337
12/15/20,0.004396427,0.08874709,0.088908561,0.057921964,0.035491597
12/22/20,0.00013972,0.041400641,0.055827289,-0.192015936,-0.094741736
12/29/20,0.006376559,-0.004484034,0.065558723,-0.087660472,-0.087504567
1/5/21,0.029549196,0.00939906,0.225581551,-0.493122586,0.501907726
1/12/21,-0.009207101,-0.032203302,0.05412383,-0.254631201,-0.282440942
1/19/21,0.005894768,-0.057354737,0.054454503,-0.112923724,-0.054506334
1/26/21,-0.0338316,0.032337234,0.098676236,-0.006067991,-0.137628442
