real_date_trends_songs,percent_change,NYT_vader,NYT_textblob,NYT_bert,NYT_flair,whole_song_score,mean_by_sentence_song_score,mean_without_0_by_sentence_song_score,tb_whole_song,tb_song_by_sentence,tb_song_by_sentence_without_0,bert,flair
4/3/2018,0.016695107,-0.002335404,0.074896172,-0.114086325,-0.122753833,0.140061,0.025304431,0.043994485,0.052824866,0.018020121,0.06481011,2.952466849,-0.151180592
4/10/2018,0.017544234,-0.004220606,0.075056553,-0.244622289,-0.160264634,0.238692,0.042323961,0.073905953,0.061353816,0.02182329,0.073203531,2.992869615,-0.139333224
4/17/2018,0.004202275,-0.007910363,0.076063765,0.004343169,0.044087743,0.200766,0.039803109,0.068777985,0.054669662,0.020526442,0.064256285,3.02962533,-0.174467163
4/24/2018,-0.006241982,0.048621637,0.081745177,-0.132593296,-0.142200242,0.247579,0.044046716,0.076670493,0.064322177,0.025099192,0.077121444,3.050526414,-0.159200634
5/1/2018,-0.002006388,0.05844491,0.08603713,-0.002191528,0.037286368,0.1964,0.045707223,0.075407374,0.067024353,0.02515194,0.074549758,3.05996714,-0.16867187
5/8/2018,0.022901055,0.046183246,0.0884018,-0.08656433,0.049968299,0.189359,0.042075493,0.076653204,0.064918132,0.021465679,0.071442871,3.03713841,-0.206373543
5/15/2018,-0.004696726,0.002731088,0.086785521,-0.095142215,-0.10741636,0.178611,0.039103586,0.07447049,0.06069054,0.017993287,0.066219074,3.055997289,-0.16131846
5/22/2018,0.001535162,-0.021034239,0.075215026,-0.058178634,-0.075520758,0.225076,0.045777623,0.081690096,0.062210904,0.017503723,0.06701827,3.019691642,-0.209452026
5/29/2018,-0.004785021,0.025211875,0.076561427,-0.165154866,-0.086734716,0.193539,0.049836062,0.088865268,0.063425585,0.021452132,0.070977885,3.029115909,-0.211729457
6/5/2018,0.026912061,0.08868866,0.099130094,0.01797118,0.067840306,0.195703,0.050053427,0.090274928,0.054671053,0.018421485,0.061261808,3.077140707,-0.228035949
6/12/2018,-0.009009393,0.070189848,0.058565326,-0.004973303,-0.069677618,0.187843,0.048740614,0.089737727,0.058368851,0.021562473,0.066280681,3.091377587,-0.148093246
6/19/2018,-0.020731145,0.011953927,0.075054333,-0.081735158,-0.052903409,0.176795,0.05260208,0.092213542,0.055946282,0.022211869,0.062991942,3.094386599,-0.08056259
6/26/2018,-0.012750804,0.010522086,0.096986795,-0.060321445,-0.012544195,0.200643,0.045773219,0.088463509,0.054597342,0.021343721,0.060268623,3.043553754,-0.095197719
7/3/2018,0.00756732,0.077327381,0.077410557,0.052061098,0.047568713,0.175379,0.040693355,0.073793289,0.04441639,0.016082272,0.051873449,3.034776239,-0.177757862
7/10/2018,0.022499731,0.115247647,0.059693813,0.001225726,0.043336733,0.322877778,0.048005066,0.092532023,0.044670903,0.017002418,0.05576102,3.077827124,-0.275925157
7/17/2018,0.001544809,0.026026286,0.078880305,-0.05334842,-0.058002599,0.286887,0.04659419,0.090330297,0.044747721,0.016794694,0.055302965,3.114697829,-0.239583651
7/24/2018,0.015439043,0.024069182,0.064310366,-0.180188082,-0.107475944,0.36631,0.059149266,0.11132796,0.04987799,0.019715538,0.059042252,3.147333629,-0.136444188
7/31/2018,0.000452429,0.027459459,0.077515819,-0.223301945,-0.13447633,0.403387,0.064042526,0.122384824,0.053126938,0.019918517,0.062708235,3.188332848,-0.081450855
8/7/2018,-0.005903653,-0.016491837,0.067657692,-0.135149768,-0.000713104,0.463052,0.07278313,0.136891901,0.051967662,0.021515581,0.064600541,3.17198972,-0.094714997
8/14/2018,0.013875708,0.052265823,0.092106643,-0.152146374,-0.083670051,0.472079,0.071976687,0.133315539,0.051587079,0.021892382,0.06431501,3.161595222,-0.119162219
8/21/2018,0.004692841,-0.017276023,0.082429167,-0.009197429,-0.011916327,0.383398,0.061649335,0.114171219,0.050894807,0.02308673,0.066214371,3.131371805,-0.150534071
8/28/2018,0.006719477,-0.036069851,0.12842835,-0.522154979,-0.015754515,0.45988,0.076212115,0.143603408,0.066715505,0.031721563,0.081620065,3.209008411,-0.122960625
9/4/2018,-0.001862903,-0.001780357,0.065884461,0.015719633,0.038495743,0.368706,0.056113702,0.108802468,0.057060302,0.026889762,0.074781255,3.153010075,-0.09868854
9/11/2018,0.009104684,0.047637895,0.087866987,-0.043655689,0.017062369,0.365087,0.060079668,0.111060161,0.056994798,0.0297567,0.073476774,3.13377503,-0.18235649
9/18/2018,0.022017687,0.067759341,0.100474753,0.085354991,0.051030162,0.369516,0.058999254,0.111265462,0.050082605,0.025484331,0.065981687,3.122219458,-0.149902931
9/25/2018,-0.010778844,-0.051459116,0.073620536,-0.081504127,0.202793923,0.323772,0.053409859,0.09954034,0.048480547,0.02840844,0.06645985,3.114729049,-0.190273591
10/2/2018,-0.000425756,0.034822652,0.07634471,-0.121657549,-0.002115274,0.303244,0.045773998,0.087469203,0.03613507,0.024638147,0.052684452,3.090691325,-0.155611849
10/9/2018,-0.043688257,0.119041379,0.037588594,0.168413345,0.197906332,0.221769,0.034407142,0.069747522,0.050590566,0.027949645,0.067645587,3.027067635,-0.201542862
10/16/2018,0.004101109,-0.010311386,0.080905706,-0.042085369,0.004000096,0.16664,0.032110086,0.060440821,0.045854262,0.025346683,0.064040527,3.062502242,-0.185690392
10/23/2018,-0.030622995,0.007243169,0.070725212,-0.226339826,0.003788417,0.251739,0.042436114,0.078146578,0.041287592,0.025381119,0.058279669,3.025656698,-0.121154794
10/30/2018,0.023051083,-0.052768553,0.043175923,-0.162117785,0.204694295,0.121001,0.031464668,0.059748367,0.033840256,0.022222099,0.048013926,3.013728991,-0.188389329
11/6/2018,0.027644838,0.02768383,0.112025905,-0.17787992,0.00196335,0.149543,0.030415425,0.056986454,0.03462155,0.022434987,0.047114742,3.01106826,-0.15062757
11/13/2018,-0.022668517,-0.004120225,0.057442504,-0.064866108,0.20131895,0.204913,0.038443008,0.067661929,0.040185341,0.025420099,0.056172955,3.009966072,-0.191494577
11/20/2018,-0.046416549,0.008131443,0.064536728,-0.197087607,0.009790904,0.186295,0.044178255,0.076577912,0.034834244,0.024867494,0.050332065,3.048187716,-0.15752873
11/27/2018,0.049044069,0.001864626,0.076858522,-0.193636689,0.000798694,0.240452,0.048794507,0.084450828,0.050279422,0.030026731,0.062817719,3.086991074,-0.132003471
12/4/2018,-0.04713241,-0.005678421,0.062310251,-0.153954933,-0.062879785,0.260505,0.049949181,0.092262619,0.062860034,0.034046611,0.078372268,3.174101638,-0.091446281
12/11/2018,-0.011968211,0.054846703,0.123927963,0.012998267,0.08343347,0.223617,0.038078079,0.072693263,0.047821116,0.027372702,0.062312039,3.098456061,-0.186418901
12/18/2018,-0.07374082,-0.006439181,0.067144183,-0.134641299,-0.15122148,0.369049,0.058110028,0.119648031,0.06854941,0.030807663,0.075458023,3.221460436,0.030611337
12/25/2018,0.026754804,0.003588525,0.062371411,0.094432317,0.037300916,0.500869,0.080803365,0.166847933,0.095083965,0.045493042,0.117004313,3.38659563,0.126450233
1/1/2019,0.015822023,-0.04011358,0.071361261,-0.208734076,-0.0372464,0.470308,0.079893806,0.161104968,0.090884375,0.042559173,0.115591172,3.370153626,0.055558871
1/8/2019,0.023453541,0.010335625,0.054845384,-0.197521568,-0.143669203,0.35611,0.055394801,0.105839684,0.056419209,0.034069272,0.068702062,3.161583148,-0.069010125
1/15/2019,0.028753741,0.075884211,0.057492477,-0.115125214,0.183903096,0.317948,0.052375596,0.099460728,0.05952956,0.032695992,0.070659401,3.176071083,-0.105824831
1/22/2019,0.00124711,0.00838908,0.0870493,-0.04749819,0.180457623,0.327674,0.054261966,0.099987958,0.0548208,0.028745399,0.065048913,3.175559664,-0.126776476
1/29/2019,0.01303429,-0.005958025,0.058305815,-0.19357987,0.175037521,0.322089,0.053109544,0.093517487,0.055546521,0.028191089,0.061943823,3.170212967,-0.118607416
2/5/2019,0.00169041,-0.007863291,0.059382394,-0.006332223,0.175855938,0.364514,0.054510786,0.100572745,0.051336463,0.025406029,0.058099914,3.137603653,-0.13580322
2/12/2019,0.030016323,0.03446802,0.075134239,-0.064091536,-0.025227608,0.265249,0.039280416,0.075646883,0.045792772,0.023380694,0.050301404,3.148777954,-0.138772408
2/19/2019,0.005706864,-0.017443506,0.074846134,-0.012593476,-0.026663292,0.337787,0.050435166,0.09605369,0.060276054,0.025836672,0.062619145,3.126756161,-0.167369624
2/26/2019,-0.00021094,0.009865269,0.092159292,-0.052471118,-0.023635041,0.39665,0.060375085,0.110781952,0.067525342,0.030825831,0.075479182,3.171992622,-0.089980144
3/5/2019,-0.022635543,-0.056610759,0.027560249,-0.102857556,-0.021384442,0.228136,0.041638174,0.075544154,0.05569795,0.028352151,0.06290305,3.123069071,-0.166356081
3/12/2019,0.015421564,-0.097478919,0.072288461,-0.161380819,-0.01922636,0.312825,0.055616261,0.101373069,0.078958494,0.035759482,0.087405117,3.174653058,-0.031964843
3/19/2019,-0.01358896,-0.006839344,0.079106244,-0.156974235,-0.01502816,0.298414,0.057757151,0.107622488,0.080963769,0.036164697,0.090819268,3.212595445,-0.036598943
3/26/2019,0.016443568,-0.019630409,0.061638627,-0.204369337,-0.011255917,0.2867,0.053453966,0.104511502,0.071716275,0.02998052,0.081102253,3.187866179,-0.043342271
4/2/2019,0.018781842,-0.014588372,0.075603348,-0.180279994,-0.127709071,0.319507,0.054425841,0.107709741,0.07983678,0.033532568,0.088732329,3.191791179,-0.075280933
4/9/2019,-0.000480458,0.061519767,0.082447093,-0.138477553,-0.081711722,0.275178,0.049617712,0.09815334,0.076264012,0.033105432,0.087998508,3.184120409,-0.131184544
4/16/2019,0.008402382,0.020273418,0.084052024,0.009692488,0.022267236,0.282247,0.048182358,0.096754779,0.065025506,0.028004497,0.07577833,3.16293382,-0.083668705
4/23/2019,0.004936457,-0.051683626,0.072258843,-0.272309488,-0.169849158,0.247004,0.051004479,0.099564975,0.077551604,0.034176964,0.089392971,3.149802835,-0.081375436
4/30/2019,-0.001448031,0.035993989,0.095636363,-0.097048071,-0.11322155,0.304873,0.053527917,0.105998505,0.086670541,0.037774438,0.100608675,3.148349305,-0.065582775
5/7/2019,-0.02168576,0.024255,0.066826943,-0.047498489,-0.009016604,0.285036,0.048375621,0.102346942,0.087662817,0.039473267,0.100998328,3.126239241,-0.005071158
