date (day),average_score,date (week),average_score,date (month),average_score,date (year),average_score
2019-08-08,-0.05385706521739131,,,,,,
2019-08-09,-0.021747741935483865,,,,,,
2019-08-10,-0.10415428571428571,,,,,,
2019-08-11,-0.10251911764705883,,,,,,
2019-08-12,-0.06827685950413223,,,,,,
2019-08-13,-0.01936040268456376,,,,,,
2019-08-14,-0.11053630573248407,,,,,,
2019-08-15,0.060526315789473685,,,,,,
2019-08-16,0.026921656050955416,,,,,,
2019-08-17,-0.11006911764705883,,,,,,
2019-08-18,-0.002522499999999996,,,,,,
2019-08-19,-0.04721545454545455,,,,,,
2019-08-20,0.019944666666666666,,,,,,
2019-08-21,-0.01941655629139073,,,,,,
2019-08-22,0.04441506024096385,,,,,,
2019-08-23,0.04777012195121951,,,,,,
2019-08-24,-0.06806363636363637,,,,,,
2019-08-25,-0.08751125000000001,,,,,,
2019-08-26,0.015376612903225804,,,,,,
2019-08-27,0.013367096774193545,,,,,,
2019-08-28,-0.035747402597402604,,,,,,
2019-08-29,0.01274425287356322,,,,,,
2019-08-30,0.01997777777777778,,,,,,
2019-08-31,-0.047014102564102565,,,,,,
2019-09-01,0.02177872340425532,,,,,,
2019-09-02,0.021728235294117645,,,,,,
2019-09-03,,,,,,,
2019-09-04,0.05015760869565217,,,,,,
2019-09-05,0.0022097938144329927,,,,,,
2019-09-06,0.05239845360824742,,,,,,
2019-09-07,0.0058130952380952405,,,,,,
2019-09-08,0.06333513513513514,,,,,,
2019-09-09,0.0011435897435897442,,,,,,
2019-09-10,0.05150846774193549,,,,,,
2019-09-11,-0.08748603351955307,,,,,,
2019-09-12,0.029790170940170942,,,,,,
2019-09-13,0.000386363636363638,,,,,,
2019-09-14,0.09087083333333333,,,,,,
2019-09-15,0.0751551724137931,,,,,,
2019-09-16,0.003883108108108108,,,,,,
2019-09-17,0.046705789473684214,,,,,,
2019-09-18,0.05076257309941521,,,,,,
2019-09-19,-0.004143069306930692,,,,,,
2019-09-20,0.04765260416666667,,,,,,
2019-09-21,-0.033031506849315065,,,,,,
2019-09-22,0.04960531914893618,,,,,,
2019-09-23,0.052289999999999996,,,,,,
2019-09-24,0.002024590163934427,,,,,,
2019-09-25,0.00583915343915344,,,,,,
2019-09-26,0.016067256637168136,,,,,,
2019-09-27,0.031442424242424244,,,,,,
2019-09-28,0.02645526315789474,,,,,,
2019-09-29,0.018523762376237627,,,,,,
2019-09-30,-0.04862755905511811,,,,,,
2019-10-01,-0.01811304347826087,,,,,,
2019-10-02,-0.043378010471204195,,,,,,
2019-10-03,-0.0025465346534653474,,,,,,
2019-10-04,-0.0023994736842105255,,,,,,
2019-10-05,-0.04903472222222222,,,,,,
2019-10-06,0.05094226804123711,,,,,,
2019-10-07,-0.050565100671140936,,,,,,
2019-10-08,0.00403045977011494,,,,,,
2019-10-09,0.061434899328859066,,,,,,
2019-10-10,-0.007647499999999998,,,,,,
2019-10-11,-0.006546046511627908,,,,,,
