real_date_trends_songs,vader_mean,vader_sum,vader_weighted_mean,vader_weighted_sum,textblob_mean,textblob_sum,textblob_weighted_mean,textblob_weighted_sum,date, value,day_of_week_x,change,percent_change,_merge,Open,High,Low,Close,Adj Close,Volume,day_of_week_y,change_VTI,percent_change_VTI,change_adj,percent_change_adj,nyt_vader_mean,nyt_vader_sum,nyt_textblob_mean,nyt_textblob_sum,whole_song_score,mean_by_sentence_song_score,mean_without_0_by_sentence_song_score,tb_whole_song,tb_song_by_sentence,tb_song_by_sentence_without_0
4/28/20,-0.000708,-0.0177,7.026,175.65,0.044,1.1,139,3475,5/1/20,23723.69,Friday,-51.58,-0.002174198,both,143.119995,143.600006,139.800003,141.809998,134.923965,4232500,Friday,0.179993,0.001269255,0.171249,0.001269226,0.016551888,17.0981,0.082071995,84.78037101,0.174294845,0.040307426,0.068969994,0.082444066,0.040324436,0.104030778
5/5/20,0.009652,0.2413,-51.4118,-1285.295,0.024,0.6,3.6,90,5/8/20,24331.32,Friday,607.63,0.024973162,both,146.449997,147.630005,145.880005,147.470001,140.309128,4248400,Friday,5.660003,0.038380708,5.385163,0.038380703,0.005586711,5.8437,0.07482268,78.26452294,0.239981443,0.051633302,0.088672378,0.084714541,0.039541392,0.106399332
5/12/20,0.033024,0.8256,113.8468,2846.17,0.0565,1.4125,152.025,3800.625,5/15/20,23685.42,Friday,-645.9,-0.027269941,both,141.770004,143.860001,141.190002,143.830002,136.845917,3845600,Friday,-3.639999,-0.025307648,-3.463211,-0.025307375,-0.019497856,-20.0048,0.067528253,69.28398725,0.260553608,0.053887403,0.088827172,0.074153757,0.036563722,0.092518428
5/19/20,0.017616,0.4404,3.5232,88.08,0.032,0.8,6.16,154,5/22/20,24465.16,Friday,779.74,0.031871445,both,148.759995,149.279999,147.970001,149.259995,142.012222,3003000,Friday,5.429993,0.036379426,5.166305,0.036379298,-0.003215628,-3.251,0.074277371,75.09442192,0.130542708,0.039564257,0.065964872,0.0729167,0.03379444,0.090191926
5/26/20,0.059043478,1.358,33.67982609,774.636,0.060869565,1.4,26.32608696,605.5,5/29/20,25383.11,Friday,917.95,0.036163811,both,152.800003,154.130005,151.410004,153.710007,146.246124,4776100,Friday,4.450012,0.028950698,4.233902,0.028950525,-0.003546696,-3.2204,0.083828909,76.11664928,0.052865625,0.025459622,0.043348166,0.060542035,0.030650943,0.077807491
6/2/20,-0.081164,-2.0291,-306.4096,-7660.24,0.007333333,0.183333333,-3.766666667,-94.16666667,6/5/20,27110.98,Friday,1727.87,0.063733218,both,161.399994,163.080002,161,161.899994,154.038452,4373400,Friday,8.189987,0.050586704,7.792328,0.050586902,-0.127672637,-128.311,0.060420267,60.72236846,0.105011458,0.03702593,0.064650773,0.071948193,0.03277753,0.094064124
6/9/20,-0.005588,-0.1397,-24.266,-606.65,-0.027666667,-0.691666667,-22.25333333,-556.3333333,6/12/20,25605.54,Friday,-1505.44,-0.058793527,both,156.490005,156.490005,150.830002,153.970001,146.493515,6882100,Friday,-7.929993,-0.051503494,-7.544937,-0.051503556,-0.069628866,-67.54,0.064937418,62.98929519,0.204225,0.052186777,0.08268658,0.078170499,0.036657568,0.098045045
6/16/20,-0.01,-0.25,-2,-50,0,0,0,0,6/19/20,25871.46,Friday,265.92,0.010278508,both,159.860001,159.880005,156.289993,157.080002,149.452545,3824900,Friday,3.110001,0.019798835,2.95903,0.019799128,-0.01565354,-16.1388,0.069836609,72.00154415,0.240430208,0.056541017,0.09488327,0.075495294,0.038457866,0.093370063
6/23/20,0.002452,0.0613,43.0562,1076.405,0.005454545,0.136363636,62.2,1555,6/26/20,25015.55,Friday,-855.91,-0.034215118,both,154.979996,155.169998,151.729996,152.020004,145.296585,3508500,Friday,-5.059998,-0.03328508,-4.15596,-0.028603288,-0.057020052,-65.9722,0.094349419,109.1622781,0.212569072,0.046843078,0.080834806,0.072263442,0.034207634,0.08995226
6/30/20,-0.021075,-0.4215,-52.6875,-1053.75,0.025,0.5,8.6,172,7/3/20,,,,,left_only,,,,,,,,,,,,0.01806841,17.6167,0.081024965,78.99934046,0.293918557,0.05626842,0.099657175,0.079336322,0.036502276,0.094033339
