date,close,adj_close,whole_song_vader,song_mean_by_sentence_vader,song_mean_by_sentence_without_0_vader,whole_song_textblob,song_by_sentence_without_0_textblob,song_bert,song_flair,,WEIGHTED_whole_song_score,WEIGHTED_mean_by_sentence_song_score,WEIGHTED_mean_without_0_by_sentence_song_score,WEIGHTED_tb_whole_song,WEIGHTED_tb_song_by_sentence,WEIGHTED_tb_song_by_sentence_without_0,WEIGHTED_bert,WEIGHTED_flair,,vader,textblob,textblob_full,vader_full
10/31/17,132.820007,120.468475,0.356994,0.053533079,0.10536757,0.053010177,0.07171448,3.162629487,-0.035268059,,0.406627153,0.060460408,0.119609022,0.057647239,0.027489243,0.079237558,3.609758123,-0.043861465,,1.623809762,1.064767064,1.023113265,1.078566228
11/7/17,132.539993,120.214493,0.355861,0.05604424,0.11009246,0.064948064,0.086098351,3.158830312,-0.08567933,,0.399920692,0.062385721,0.123299325,0.071272062,0.031622694,0.096170183,3.619208837,-0.097924211,,1.586647384,1.078301033,1.025844207,1.073978809
11/14/17,132.639999,120.305183,0.271466,0.044581134,0.085093184,0.046632127,0.06246963,3.153534659,-0.063239884,,0.328941747,0.053186812,0.102665003,0.052208245,0.027310331,0.073314518,3.62872173,-0.074223287,,1.603040051,1.071440349,1.022077024,1.065501826
11/21/17,134.110001,121.638512,0.2402,0.037800151,0.074349981,0.046707232,0.063021843,3.105959471,-0.047679816,,0.283482435,0.046145982,0.090514987,0.051357539,0.025635295,0.072456306,3.554722721,-0.054617775,,1.649663061,1.064692457,1.019010712,1.062909865
11/28/17,136.070007,123.416229,0.183945,0.032296685,0.068833744,0.046745431,0.061062123,3.097364492,-0.143230521,,0.210321048,0.037640415,0.07920186,0.050076083,0.025269292,0.066847901,3.523952717,-0.158099402,,1.563015824,1.074596761,1.022244673,1.059938942
12/5/17,136.479996,123.788086,0.158296,0.029201307,0.060011746,0.047574152,0.061708284,3.077181823,-0.085752034,,0.180004243,0.033894954,0.068872469,0.04941841,0.024101071,0.065537196,3.493652108,-0.097115501,,1.585840673,1.091061559,1.022664863,1.058321133
12/12/17,137.550003,124.758629,0.159505,0.027546168,0.054863196,0.04846351,0.061485017,3.046635341,-0.024346392,,0.174466493,0.030925689,0.060740415,0.049870443,0.025468663,0.064177409,3.408038189,-0.038331753,,1.589260351,1.098865708,1.022791513,1.054333442
12/19/17,137.520004,125.342949,0.169202,0.02636442,0.059015495,0.060493713,0.077696061,3.048189928,-0.00242255,,0.184180976,0.029194172,0.064726137,0.062867746,0.030432574,0.082173855,3.440494028,-0.010885659,,1.586366154,1.128478897,1.027203128,1.052999696
12/26/17,137.25,125.096886,0.196173,0.029466185,0.065879446,0.065975076,0.084059809,3.10217348,-0.015132037,,0.221073791,0.033471912,0.073747831,0.069367679,0.03363999,0.089397181,3.470508764,-0.017401102,,1.595008423,1.154941689,1.027398533,1.05287345
1/2/18,140.369995,127.940582,0.239721,0.035288181,0.070465255,0.065696297,0.088626381,3.066802156,-0.064659849,,0.26441797,0.040170901,0.079124777,0.072331196,0.035170511,0.097996244,3.376261881,-0.046378831,,1.688312506,1.174909251,1.030170479,1.059133613
1/9/18,142.75,130.109863,0.156066,0.026189782,0.054444427,0.061156261,0.080142869,3.055958614,-0.018917766,,0.183433601,0.032330282,0.065186477,0.070332596,0.033914882,0.09216399,3.426622646,0.003137104,,1.635406587,1.125114152,1.027835355,1.050416822
1/16/18,143.919998,131.176254,0.210654,0.030622826,0.060147358,0.065772857,0.084094612,3.076937568,-0.040155546,,0.247906483,0.036831476,0.070553778,0.078393111,0.03731812,0.098850501,3.420269621,-0.011163102,,1.104885709,1.101708923,1.030406502,1.051788571
1/23/18,146.860001,133.855957,0.159862,0.027300889,0.051350305,0.057169108,0.072210022,3.06833863,-0.058242085,,0.190697777,0.032455949,0.059575341,0.067542212,0.031291906,0.084233051,3.393508486,-0.037966531,,1.105275456,1.074583238,1.025036741,1.047787888
1/30/18,141.300003,128.788254,0.17134,0.027600841,0.057189869,0.048642058,0.061996321,3.042567353,-0.096577787,,0.202186564,0.032979831,0.065239344,0.057650282,0.028090112,0.072397231,3.33031065,-0.08187785,,1.117229514,1.107760713,1.023847673,1.047480781
2/6/18,134.229996,122.344299,0.145186,0.028055783,0.046990569,0.049780438,0.060617076,2.99888734,-0.188425227,,0.158199007,0.033771018,0.056845077,0.059486065,0.025784331,0.071144489,3.291159098,-0.156727169,,1.175433418,1.093247761,1.018799577,1.048167937
2/13/18,140.110001,127.703629,0.158516,0.033952627,0.057183533,0.055699082,0.065815555,3.037492157,-0.041626117,,0.188962957,0.039289622,0.068212807,0.064464358,0.026499238,0.075098602,3.31235214,-0.030028311,,1.148760318,1.095447745,1.021289632,1.054153913
2/20/18,140.860001,128.387207,0.171625,0.032796802,0.058781194,0.064392405,0.07509524,3.007722083,-0.058279012,,0.209060297,0.040193131,0.073641324,0.075476756,0.029260425,0.086991583,3.319545885,-0.048565942,,1.126847207,1.07542428,1.020270915,1.052626955
2/27/18,138.240005,125.999207,0.178797,0.034697114,0.060551224,0.062680671,0.072659914,3.02552308,-0.055707811,,0.221387339,0.042469394,0.07568614,0.074033615,0.031251975,0.08492644,3.347678752,-0.038713759,,1.095355563,1.0596979,1.021076357,1.054416222
3/6/18,143.300003,130.611176,0.087207,0.020047554,0.035222166,0.053953082,0.05961545,2.966944878,-0.073243127,,0.135089116,0.027280043,0.049303327,0.063184591,0.024289761,0.068745478,3.262081778,-0.076240931,,1.122808638,1.072619784,1.017352486,1.046462238
3/13/18,141.660004,129.116379,0.093946,0.022239421,0.035265945,0.053521008,0.062708446,2.951037071,-0.163041179,,0.122134485,0.027694762,0.047107016,0.061117488,0.0210692,0.070379668,3.252969651,-0.168665518,,1.086918308,1.034251939,1.015127969,1.044857201
3/20/18,133.100006,121.80706,0.044771,0.012869773,0.01916662,0.040455708,0.043500859,2.899944432,-0.191180767,,0.08119815,0.018695448,0.031275607,0.045499099,0.01522374,0.048634431,3.134970334,-0.188742836,,1.102606466,1.044504078,1.012145545,1.03634126
3/27/18,,,0.109525,0.022253568,0.037009942,0.042339787,0.051853647,2.971561518,-0.182557448,,0.130531146,0.027566456,0.048013833,0.047883501,0.016623459,0.057546216,3.279757855,-0.205113807,,1.076229249,1.046368159,1.012969674,1.043235522
4/3/18,133.869995,122.511696,0.140061,0.025304431,0.043994485,0.052824866,0.06481011,2.952466849,-0.151180592,,0.176613635,0.031485434,0.056993166,0.060539694,0.020320483,0.073223365,3.265892395,-0.159515478,,1.073310166,1.037618185,1.016533694,1.044671053
4/10/18,136.580002,124.991806,0.238692,0.042323961,0.073905953,0.061353816,0.073203531,2.992869615,-0.139333224,,0.263862138,0.045807716,0.082193813,0.068003733,0.02344387,0.079818059,3.302580294,-0.147038699,,1.122139614,1.054862426,1.019633961,1.048492627
4/17/18,137.5,125.833702,0.200766,0.039803109,0.068777985,0.054669662,0.064256285,3.02962533,-0.174467163,,0.231559404,0.042879356,0.076571155,0.061085886,0.021062021,0.069602421,3.322679832,-0.172541631,,1.130840417,1.096663885,1.016545073,1.049330106
4/24/18,137.330002,125.678169,0.247579,0.044046716,0.076670493,0.064322177,0.077121444,3.050526414,-0.159200634,,0.273847086,0.04668504,0.083741443,0.070061791,0.025118705,0.080521968,3.353824275,-0.139949902,,1.132834452,1.093704381,1.02043053,1.051988042
