song,artist,counter
Who's In Your Head,Jonas Brothers,"{'bleed': 5, 'lose': 3, 'hear': 2}"
In The Bible,Drake Featuring Lil Durk & Giveon,"{'proud': 2, 'told': 1, 'decide': 1, 'promote': 1, 'sure': 1, 'nasty': 1, 'send': 1, 'viral': 1}"
Just About Over You,Priscilla Block,"{'hear': 3, 'tight': 1, 'big': 1}"
To Be Loved By You,Parker McCollum,"{'angry': 3, 'different': 3, 'hard': 2, 'long': 1, 'easy': 1, 'understand': 1, 'loved': 1}"
Ain't Shit,Doja Cat,"{'listen': 6, 'happen': 1, 'write': 1, 'relax': 1, 'logical': 1, 'new': 1}"
Life Goes On,Oliver Tree,"{'nasty': 1, 'distract': 1, 'lose': 1, 'believe': 1, 'honest': 1, 'explain': 1}"
Come Through,H.E.R. Featuring Chris Brown,"{'tight': 3, 'live': 3, 'ask': 2, 'hard': 2, 'ooh': 2, 'breathe': 1, 'inhale': 1, 'exhale': 1, 'expel': 1, 'spend': 1}"
Nevada,YoungBoy Never Broke Again,"{'follow': 2, 'lose': 2, 'ooh': 2, 'happy': 1, 'seem': 1, 'decide': 1, 'drunker': 1, 'apologize': 1, 'sorry': 1}"
Leave Before You Love Me,Marshmello X Jonas Brothers,"{'sorry': 4, 'tight': 1}"
Deja Vu,Olivia Rodrigo,"{'reuse': 2, 'annoy': 1, 'reused': 1, 'honest': 1, 'ooh': 1, 'played': 1, 'sing': 1, 'taught': 1, 'different': 1, 'new': 1}"
Ex For A Reason,Summer Walker & JT,"{'ooh': 2, 'understand': 2, 'sure': 2, 'hard': 1, 'long': 1, 'easy': 1, 'reasonable': 1, 'bring': 1, 'sit': 1, 'different': 1}"
Late At Night,Roddy Ricch,"{'late': 9, 'long': 3, 'comfortable': 1}"
Livin It Up,Young Thug With Post Malone & A$AP Rocky,"{'many': 9, 'long': 3, 'blunts': 3, 'fresh': 2, 'hard': 1, 'argue': 1, 'protect': 1, 'fasten': 1, 'big': 1, 'levitate': 1, 'brighter': 1, 'petrify': 1, 'new': 1}"
Stressed,Young Thug With J. Cole & T-Shyne,"{'got': 2, 'lose': 2, 'send': 2, 'stressed': 2, 'speak': 1, 'slow': 1, 'big': 1, 'legal': 1, 'bare': 1, 'blunt': 1, 'sad': 1, 'acquit': 1, 'listen': 1, 'grow': 1, 'used': 1}"
Rich N***a Shit,Young Thug With Juice WRLD,"{'sorry': 3, 'juicy': 1, 'spent': 1, 'lose': 1, 'new': 1, 'mellow': 1, 'extend': 1, 'ooh': 1, 'instrumental': 1}"
Champagne Poetry,Drake,"{'new': 2, 'big': 2, 'live': 2, 'manage': 2, 'owe': 2, 'hot': 1, 'remain': 1, 'enjoy': 1, 'remember': 1, 'gassed': 1, 'effortless': 1, 'strong': 1, 'grow': 1, 'able': 1, 'bury': 1, 'tend': 1, 'bake': 1, 'many': 1, 'misinform': 1, 'explore': 1, 'sure': 1}"
Let Somebody Go,Coldplay X Selena Gomez,"{'ask': 1, 'explain': 1}"
You Time,Scotty McCreery,"{'monopolize': 3, 'bring': 1}"
Peepin Out The Window,Young Thug With Future & BSlime,"{'hot': 4, 'listen': 4, 'big': 2, 'doubled': 1, 'brought': 1, 'understand': 1, 'bring': 1, 'stimulate': 1}"
Woo Baby,Pop Smoke Featuring Chris Brown,"{'ooh': 5, 'tatted': 3, 'grabbed': 3, 'lasted': 3, 'sure': 2, 'slurp': 1, 'swear': 1, 'replace': 1, 'woo': 1}"
Flocky Flocky,Don Toliver Featuring Travis Scott,"{'woo': 5, 'new': 3, 'caught': 2, 'careful': 1, 'prove': 1, 'swear': 1}"
Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,"{'sure': 3, 'breathe': 1, 'remember': 1, 'ignore': 1, 'distract': 1}"
Drinkin' Beer. Talkin' God. Amen.,Chase Rice Featuring Florida Georgia Line,"{'big': 1, 'breathe': 1, 'thank': 1, 'deserve': 1}"
Your Heart,Joyner Lucas & J. Cole,"{'listen': 4, 'ooh': 4, 'sorry': 2, 'dirty': 2, 'angry': 1, 'long': 1, 'hard': 1, 'hear': 1, 'involve': 1, 'knew': 1, 'deserve': 1, 'heard': 1, 'occur': 1, 'loyal': 1, 'reap': 1, 'proud': 1, 'pure': 1, 'late': 1, 'starve': 1}"
Summer Of Love,Shawn Mendes & Tainy,"{'delicate': 4, 'slow': 2, 'mental': 1, 'entangle': 1}"
Waves,Luke Bryan,"{'tied': 3, 'long': 3, 'alive': 1, 'lose': 1, 'meant': 1, 'happen': 1}"
Life Support,YoungBoy Never Broke Again,"{'alive': 4, 'ooh': 3, 'eat': 1, 'sit': 1, 'remember': 1, 'decide': 1, 'jeopardize': 1, 'told': 1, 'fail': 1, 'prevail': 1, 'insecure': 1, 'hear': 1, 'spend': 1, 'foreign': 1, 'forbid': 1, 'please': 1, 'insane': 1, 'mistreat': 1}"
Bad Morning,YoungBoy Never Broke Again,"{'quit': 4, 'grow': 3, 'different': 3, 'hard': 3, 'send': 3, 'ran': 2, 'write': 2, 'speak': 1, 'loud': 1, 'overdose': 1, 'foreign': 1, 'focused': 1, 'slow': 1}"
Intro (Hate On Me),Meek Mill,"{'darker': 1, 'woo': 1, 'bulletproof': 1, 'bring': 1, 'tried': 1, 'lose': 1, 'remember': 1, 'send': 1, 'follow': 1, 'fresh': 1, 'represent': 1, 'pour': 1, 'deplete': 1, 'involve': 1}"
Drunk (And I Don't Wanna Go Home),Elle King & Miranda Lambert,"{'ooh': 58, 'sing': 3, 'hard': 2, 'hear': 1, 'new': 1, 'met': 1}"
Butter,BTS,"{'ooh': 5, 'cheap': 4, 'hot': 2, 'owe': 1, 'remind': 1, 'fresh': 1, 'hotter': 1, 'sweeter': 1}"
Hot,Meek Mill Featuring Moneybagg Yo,"{'hot': 12, 'compete': 3, 'remember': 2, 'hotter': 2, 'big': 2, 'cooked': 1, 'amazing': 1, 'swear': 1, 'ooh': 1, 'taught': 1}"
Expensive Pain,Meek Mill,"{'expensive': 13, 'bulletproof': 2, 'ask': 2, 'blunt': 1, 'realest': 1, 'spend': 1, 'slow': 1, 'caught': 1, 'send': 1, 'long': 1, 'hard': 1, 'learn': 1, 'remain': 1, 'humble': 1, 'used': 1, 'culinary': 1}"
On My Soul,Meek Mill,"{'different': 2, 'new': 2, 'bulletproof': 2, 'rove': 2, 'many': 1, 'swear': 1, 'tangled': 1, 'dangerous': 1, 'believe': 1, 'useless': 1, 'obtain': 1}"
Blue Note$ II,Meek Mill Featuring Lil Uzi Vert,"{'send': 2, 'knew': 2, 'fail': 2, 'excite': 1, 'excited': 1, 'inspire': 1, 'sudden': 1, 'lose': 1}"
Outside (100 MPH),Meek Mill,"{'new': 3, 'big': 2, 'woke': 1, 'careful': 1, 'operate': 1, 'marry': 1, 'long': 1, 'many': 1, 'dirty': 1, 'believe': 1}"
Last One Standing,"Skylar Grey, Polo G, Mozzy & Eminem","{'many': 4, 'survive': 3, 'lose': 3, 'live': 3, 'easy': 3, 'big': 2, 'bright': 1, 'knew': 1, 'fail': 1, 'blew': 1, 'cubic': 1, 'hopeless': 1, 'broke': 1, 'strong': 1, 'got': 1, 'earn': 1, 'yearn': 1, 'learn': 1, 'simplest': 1, 'explain': 1, 'relate': 1, 'grows': 1, 'suffice': 1, 'awake': 1, 'write': 1, 'prayed': 1, 'follow': 1}"
The Feels,TWICE,"{'woo': 4, 'sure': 3, 'frozen': 1, 'obvious': 1, 'alive': 1, 'reveal': 1}"
Me (FWM),Meek Mill Featuring A$AP Ferg,"{'woo': 2, 'long': 2, 'ooh': 2, 'hot': 2, 'big': 1, 'confuse': 1, 'happen': 1, 'slim': 1, 'sit': 1, 'ask': 1}"
Love Train,Meek Mill,"{'many': 9, 'believe': 9, 'different': 3, 'up': 3, 'heard': 3, 'learn': 2, 'swear': 2, 'receive': 1, 'toxic': 1, 'live': 1, 'maintain': 1, 'booed': 1, 'rearrange': 1, 'spend': 1, 'expensive': 1, 'invent': 1, 'bring': 1}"
Feelin Like Tunechi,Lil Wayne Featuring Rich The Kid,"{'big': 5, 'live': 3, 'eat': 3, 'ooh': 3, 'grown': 3, 'believe': 2, 'many': 1, 'fresh': 1, 'serious': 1, 'forget': 1}"
