real_date_trends_songs,percent_change,NYT_vader,NYT_textblob,NYT_bert,NYT_flair,BB_weight_bert,BB_weight_vader,BB_weight_textblob,BB_weight_flair
12/25/18,0.026754804,0.003588525,0.062371411,0.094432317,0.037300916,0.32642317,0.338456225,0.064960283,0.047876548
1/1/19,0.015822023,-0.04011358,0.071361261,-0.208734076,-0.0372464,0.321346415,0.284487753,0.061865968,-0.000388785
1/8/19,0.023453541,0.010335625,0.054845384,-0.197521568,-0.143669203,0.34815579,0.252864754,0.040459433,-0.069937402
1/15/19,0.028753741,0.075884211,0.057492477,-0.115125214,0.183903096,0.345844516,0.205080696,0.043976225,-0.090546992
1/22/19,0.00124711,0.00838908,0.0870493,-0.04749819,0.180457623,0.337830515,0.166813085,0.038288669,-0.101057288
1/29/19,0.01303429,-0.005958025,0.058305815,-0.19357987,0.175037521,0.327939774,0.166714176,0.041595934,-0.076901241
2/5/19,0.00169041,-0.007863291,0.059382394,-0.006332223,0.175855938,0.337571529,0.205847306,0.038548816,-0.095588874
2/12/19,0.030016323,0.03446802,0.075134239,-0.064091536,-0.025227608,0.337156338,0.129379959,0.038749061,-0.072434678
2/19/19,0.005706864,-0.017443506,0.074846134,-0.012593476,-0.026663292,0.333615853,0.168523077,0.046607722,-0.130661624
2/26/19,-0.00021094,0.009865269,0.092159292,-0.052471118,-0.023635041,0.335324397,0.226784936,0.054259407,-0.065545659
3/5/19,-0.022635543,-0.056610759,0.027560249,-0.102857556,-0.021384442,0.331396244,0.1255066,0.04454907,-0.076965393
3/12/19,0.015421564,-0.097478919,0.072288461,-0.161380819,-0.01922636,0.334094978,0.143253123,0.053921902,-0.023446263
3/19/19,-0.01358896,-0.006839344,0.079106244,-0.156974235,-0.01502816,0.335405051,0.16948625,0.053509632,-0.03938819
3/26/19,0.016443568,-0.019630409,0.061638627,-0.204369337,-0.011255917,0.332984366,0.168411074,0.050008632,-0.05079382
4/2/19,0.018781842,-0.014588372,0.075603348,-0.180279994,-0.127709071,0.334802554,0.199340795,0.057369069,-0.065153697
4/9/19,-0.000480458,0.061519767,0.082447093,-0.138477553,-0.081711722,0.350859169,0.238455658,0.057069756,-0.11539319
4/16/19,0.008402382,0.020273418,0.084052024,0.009692488,0.022267236,0.349133335,0.211583507,0.052185832,-0.055575444
4/23/19,0.004936457,-0.051683626,0.072258843,-0.272309488,-0.169849158,0.348936613,0.207912413,0.056081839,-0.055110306
4/30/19,-0.001448031,0.035993989,0.095636363,-0.097048071,-0.11322155,0.343641091,0.229662831,0.059614543,-0.052388081
5/7/19,-0.02168576,0.024255,0.066826943,-0.047498489,-0.009016604,0.344021591,0.204362027,0.059333585,-0.00392232
5/14/19,-0.006923226,-0.007502793,0.085748055,-0.154442773,-0.096725453,0.33701275,0.213433169,0.051750196,0.002884797
5/21/19,-0.00696913,0.054310303,0.088634253,-0.11400025,-0.133107621,0.346836555,0.215667447,0.054669295,-0.005420999
5/28/19,-0.031055763,0.020687013,0.066144082,0.003727108,-0.021170024,0.344821694,0.234849315,0.055220558,-0.027417518
6/4/19,0.044985479,-0.03508956,0.061832299,-0.071353552,-0.002256084,0.344578737,0.187401726,0.050806082,0.047754726
6/11/19,0.004050271,-0.032546951,0.075923625,-0.09994136,-0.003657999,0.340045434,0.255198554,0.044706847,0.053075456
6/18/19,0.023560647,-0.020403012,0.091953929,-0.037851825,-0.005296496,0.335415701,0.26498913,0.049542854,0.076738165
6/25/19,-0.004480082,-0.006972,0.059454439,-0.117185132,-0.00605905,0.338634606,0.308241027,0.055113938,0.082096099
7/2/19,0.011966368,0.067516766,0.061068588,-0.088343521,-0.010492399,0.329174951,0.294383153,0.048186305,0.063169426
7/9/19,0.014997422,0.031905233,0.088168961,-0.0275953,-0.014203923,0.325359989,0.287163431,0.043478343,0.055924499
7/16/19,-0.006548895,-0.047374211,0.061287969,-0.020850529,-0.013702752,0.324891639,0.305989466,0.043178379,0.04880131
7/23/19,0.00140664,0.03666125,0.067200389,-0.058216905,-0.014555286,0.32071908,0.311723507,0.04072629,0.023083589
7/30/19,-0.026710958,-0.113459394,0.071576308,-0.258468967,-0.0151799,0.31551287,0.2956183,0.036896603,-0.032131846
8/6/19,-0.007515757,-0.075883735,0.059035551,-0.006195616,0.01995526,0.3096277,0.297349211,0.035685073,-0.035400102
8/13/19,-0.015507604,-0.031391275,0.074731556,-0.081896278,-0.086217861,0.302322701,0.287598851,0.025272232,-0.050583142
8/20/19,-0.010032034,-0.016452667,0.084792729,-0.064975732,-0.006640103,0.296275581,0.199107208,0.019597917,-0.079912962
8/27/19,0.029328932,0.034305161,0.078258662,-0.097131879,-0.049042777,0.309956092,0.189732029,0.024475163,-0.042140181
9/3/19,0.014709603,-0.016091107,0.079260982,-0.08133463,-0.047300247,0.337170775,0.233777897,0.031440172,-0.064479437
9/10/19,0.015505784,0.052720161,0.075128979,-0.076171824,0.152774729,0.322762153,0.252945347,0.032260981,-0.075877057
9/17/19,-0.010560581,0.033053684,0.087655376,-0.106821119,-0.049804864,0.324234559,0.165791466,0.023048933,-0.07181628
