song,artist,counter,Vader,TextBlob,VaderBoost,TextBlobBoost,VaderPolarity,TextBlobPolarity,VaderBoostPolarity,TextBlobBoostPolarity,,FullTextBlobPolarity,FullVaderPolarity
Most Girls,Hailee Steinfeld,"{'late': 11, 'celebrate': 11, 'strong': 2, 'beautiful': 2, 'hard': 2, 'unstoppable': 2, 'new': 1, 'tight': 1}","{'pos': 15, 'neg': 4, 'neu': 13}","{'pos': 5, 'neg': 14, 'neu': 13}","{'pos': 9.8, 'neg': 1.0, 'neu': 3.1}","{'pos': 6.0, 'neg': 16.8, 'neu': 11.2}",1.643274854,0.667896679,3.095238095,0.615658363,,1.00888494,1.321852061
Dark Queen,Lil Uzi Vert,"{'locked': 3, 'long': 3, 'strong': 2, 'grow': 1, 'lose': 1, 'solve': 1, 'tried': 1}","{'pos': 3, 'neg': 1, 'neu': 8}","{'pos': 2, 'neg': 0, 'neu': 10}","{'pos': 1.3, 'neg': 0.8, 'neu': 6.4}","{'pos': 2.4, 'neg': 0, 'neu': 8.0}",1.21978022,1.198019802,1.068493151,1.296296296,,1.0526118,1.133277801
X,Lil Uzi Vert,"{'write': 3, 'new': 2, 'sure': 2, 'bless': 1, 'blessed': 1, 'stuck': 1, 'bruised': 1, 'choose': 1, 'lose': 1, 'strong': 1, 'believe': 1, 'live': 1, 'hung': 1}","{'pos': 5, 'neg': 2, 'neu': 10}","{'pos': 6, 'neg': 0, 'neu': 11}","{'pos': 2.3, 'neg': 1.6, 'neu': 6.9}","{'pos': 6.8, 'neg': 0, 'neu': 8.8}",1.247933884,1.540540541,1.081395349,1.764044944,,1.027764924,1.030596634
Neon Guts,Lil Uzi Vert Featuring Pharrell Williams,"{'colorful': 12, 'eat': 4, 'tut': 4, 'big': 2, 'admit': 1, 'fresh': 1, 'on': 1, 'new': 1, 'confuse': 1, 'heard': 1}","{'pos': 2, 'neg': 1, 'neu': 25}","{'pos': 14, 'neg': 0, 'neu': 14}","{'pos': 1.0, 'neg': 0.8, 'neu': 11.0}","{'pos': 16.8, 'neg': 0, 'neu': 12.4}",1.038314176,1.992907801,1.016806723,2.344,,1.047967685,1.107209863
Revenge,XXXTENTACION,"{'hear': 2, 'forgive': 1, 'agree': 1, 'broken': 1, 'enjoy': 1}","{'pos': 3, 'neg': 1, 'neu': 2}","{'pos': 1, 'neg': 1, 'neu': 4}","{'pos': 2.4, 'neg': 0.8, 'neu': 1.6}","{'pos': 0.8, 'neg': 0.8, 'neu': 3.2}",1.64516129,1,1.64,1,,1.043821209,0.882988299
Somebody Else Will,Justin Moore,"{'ask': 3, 'sit': 3}","{'pos': 0, 'neg': 0, 'neu': 6}","{'pos': 0, 'neg': 0, 'neu': 6}","{'pos': 0, 'neg': 0, 'neu': 4.8}","{'pos': 0, 'neg': 0, 'neu': 4.8}",1,1,1,1,,0.993714645,1.073775989
Reminder,The Weeknd,"{'forget': 3, 'remind': 2, 'busy': 1, 'eyed': 1, 'grow': 1, 'swear': 1, 'new': 1, 'understand': 1, 'hard': 1, 'rotate': 1, 'blew': 1, 'seem': 1, 'pour': 1, 'bleed': 1, 'sure': 1, 'lose': 1}","{'pos': 1, 'neg': 5, 'neu': 13}","{'pos': 2, 'neg': 1, 'neu': 16}","{'pos': 0.2, 'neg': 3.4, 'neu': 9.8}","{'pos': 2.4, 'neg': 1.2, 'neu': 12.8}",0.779005525,1.058479532,0.759398496,1.085106383,,1,0.956126606
No Fear,DeJ Loaf,"{'long': 4, 'live': 3}","{'pos': 0, 'neg': 0, 'neu': 7}","{'pos': 3, 'neg': 0, 'neu': 4}","{'pos': 0, 'neg': 0, 'neu': 5.6}","{'pos': 2.4, 'neg': 0, 'neu': 3.2}",1,1.731707317,1,1.727272727,,1.065316786,1.062026189
It Ain't Me,Kygo x Selena Gomez,"{'grateful': 20, 'grow': 1}","{'pos': 20, 'neg': 0, 'neu': 1}","{'pos': 0, 'neg': 0, 'neu': 21}","{'pos': 4.8, 'neg': 0, 'neu': 0.8}","{'pos': 0, 'neg': 0, 'neu': 24.8}",19.18181818,1,6.333333333,1,,0.947800149,1.252182347
DNA.,Kendrick Lamar,"{'got': 2, 'live': 2, 'transform': 1, 'perform': 1, 'new': 1, 'contemplate': 1, 'meditate': 1, 'exist': 1, 'tolerate': 1, 'offend': 1, 'suppose': 1, 'heard': 1, 'plead': 1, 'listen': 1, 'eat': 1, 'penetrate': 1, 'rotate': 1}","{'pos': 0, 'neg': 1, 'neu': 18}","{'pos': 3, 'neg': 0, 'neu': 16}","{'pos': 0, 'neg': 0.8, 'neu': 13.8}","{'pos': 2.8, 'neg': 0, 'neu': 12.8}",0.947643979,1.186335404,0.945578231,1.217054264,,0.981086193,0.994254525
Two,Lil Uzi Vert,"{'eat': 2, 'alive': 2}","{'pos': 2, 'neg': 0, 'neu': 2}","{'pos': 0, 'neg': 0, 'neu': 4}","{'pos': 0.5, 'neg': 0, 'neu': 1.6}","{'pos': 0, 'neg': 0, 'neu': 4.0}",1.952380952,1,1.294117647,1,,1.004327131,1.056048575
For Real,Lil Uzi Vert,"{'heard': 5, 'different': 4, 'ooh': 3, 'embarrassed': 1, 'sew': 1, 'forget': 1, 'sealed': 1, 'drilled': 1}","{'pos': 0, 'neg': 2, 'neu': 15}","{'pos': 0, 'neg': 0, 'neu': 17}","{'pos': 0, 'neg': 1.6, 'neu': 9.8}","{'pos': 0, 'neg': 0, 'neu': 15.2}",0.883040936,1,0.860869565,1,,1.193606484,1.041135335
No Sleep Leak,Lil Uzi Vert,"{'ignore': 4, 'foreign': 3, 'new': 3, 'afford': 2, 'big': 1, 'important': 1, 'off': 1, 'believe': 1, 'hear': 1, 'eat': 1, 'follow': 1, 'ooh': 1, 'woo': 1}","{'pos': 2, 'neg': 4, 'neu': 15}","{'pos': 4, 'neg': 3, 'neu': 14}","{'pos': 1.0, 'neg': 3.2, 'neu': 8.1}","{'pos': 4.8, 'neg': 3.6, 'neu': 11.6}",0.895287958,1.058479532,0.807017544,1.078431373,,1.046562586,1.1454658
Save Me,XXXTENTACION,{},"{'pos': 0, 'neg': 0, 'neu': 0}","{'pos': 0, 'neg': 0, 'neu': 0}","{'pos': 0, 'neg': 0, 'neu': 0}","{'pos': 0, 'neg': 0, 'neu': 0}",1,1,1,1,,0.920159681,1.134770889
Carry On,XXXTENTACION,"{'confuse': 2, 'tried': 2, 'accuse': 1, 'mislead': 1, 'seem': 1}","{'pos': 0, 'neg': 3, 'neu': 4}","{'pos': 0, 'neg': 0, 'neu': 7}","{'pos': 0, 'neg': 2.4, 'neu': 3.2}","{'pos': 0, 'neg': 0, 'neu': 5.6}",0.577464789,1,0.578947368,1,,0.978046103,0.916765755
Down,Fifth Harmony Featuring Gucci Mane,"{'long': 11, 'bake': 2, 'ooh': 1}","{'pos': 0, 'neg': 0, 'neu': 14}","{'pos': 0, 'neg': 0, 'neu': 14}","{'pos': 0, 'neg': 0, 'neu': 11.2}","{'pos': 0, 'neg': 0, 'neu': 11.2}",1,1,1,1,,1.049049663,1.095480586
Now Or Never,Halsey,"{'ups': 2, 'different': 1, 'decide': 1}","{'pos': 0, 'neg': 0, 'neu': 4}","{'pos': 0, 'neg': 0, 'neu': 4}","{'pos': 0, 'neg': 0, 'neu': 2.6}","{'pos': 0, 'neg': 0, 'neu': 3.6}",1,1,1,1,,1.042987641,1.069112174
Everyday We Lit,YFN Lucci Featuring PnB Rock,"{'swear': 7, 'expect': 3, 'colder': 3, 'new': 2, 'foreign': 1, 'hot': 1, 'sing': 1, 'froze': 1}","{'pos': 0, 'neg': 0, 'neu': 19}","{'pos': 3, 'neg': 1, 'neu': 15}","{'pos': 0, 'neg': 0, 'neu': 11.3}","{'pos': 3.6, 'neg': 1.2, 'neu': 13.2}",1,1.124223602,1,1.165517241,,0.946447697,1.189439742
Drowning,A Boogie Wit da Hoodie Featuring Kodak Black,"{'new': 1, 'prosper': 1}","{'pos': 0, 'neg': 0, 'neu': 2}","{'pos': 1, 'neg': 0, 'neu': 1}","{'pos': 0, 'neg': 0, 'neu': 1.0}","{'pos': 1.2, 'neg': 0, 'neu': 0.8}",1,1.909090909,1,2.333333333,,1.022805017,0.969360398
Castle On The Hill,Ed Sheeran,"{'watched': 3, 'long': 2, 'grown': 2, 'reckon': 1, 'cheap': 1, 'live': 1, 'overdose': 1, 'remember': 1}","{'pos': 0, 'neg': 0, 'neu': 12}","{'pos': 2, 'neg': 0, 'neu': 10}","{'pos': 0, 'neg': 0, 'neu': 9.0}","{'pos': 2.0, 'neg': 0, 'neu': 8.0}",1,1.198019802,1,1.24691358,,1.052945069,1.019986676
You Look Good,Lady Antebellum,"{'fresh': 3, 'new': 1, 'pent': 1, 'hard': 1}","{'pos': 3, 'neg': 1, 'neu': 2}","{'pos': 4, 'neg': 1, 'neu': 1}","{'pos': 0.7, 'neg': 0.2, 'neu': 1.0}","{'pos': 4.8, 'neg': 1.2, 'neu': 0.8}",1.64516129,2.428571429,1.384615385,2.714285714,,1.127307447,1.229574612
2U,David Guetta Featuring Justin Bieber,"{'ooh': 5, 'intertwine': 3, 'speak': 3}","{'pos': 0, 'neg': 0, 'neu': 11}","{'pos': 0, 'neg': 0, 'neu': 11}","{'pos': 0, 'neg': 0, 'neu': 8.8}","{'pos': 0, 'neg': 0, 'neu': 8.8}",1,1,1,1,,1,1
Younger Now,Miley Cyrus,"{'woke': 1, 'asleep': 1, 'afraid': 1, 'live': 1}","{'pos': 0, 'neg': 0, 'neu': 4}","{'pos': 1, 'neg': 1, 'neu': 2}","{'pos': 0, 'neg': 0, 'neu': 2.1}","{'pos': 0.8, 'neg': 1.2, 'neu': 2.0}",1,1,1,0.878787879,,1.052199851,1.044411547
Its Every Night Sis,RiceGum Featuring Alissa Violet,"{'ooh': 3, 'big': 3, 'heard': 2, 'accept': 2, 'hear': 1, 'remind': 1, 'serious': 1, 'listen': 1, 'insecure': 1}","{'pos': 2, 'neg': 1, 'neu': 12}","{'pos': 0, 'neg': 2, 'neu': 13}","{'pos': 1.6, 'neg': 0.2, 'neu': 7.4}","{'pos': 0, 'neg': 2.4, 'neu': 11.6}",1.076335878,0.867549669,1.181818182,0.829787234,,0.970599044,0.983613273
Honest,The Chainsmokers,"{'honest': 13, 'sober': 3, 'suppose': 2}","{'pos': 13, 'neg': 0, 'neu': 5}","{'pos': 13, 'neg': 0, 'neu': 5}","{'pos': 3.1, 'neg': 0, 'neu': 4.0}","{'pos': 15.6, 'neg': 0, 'neu': 4.0}",3.549019608,3.549019608,1.756097561,4.804878049,,1.121852153,1.177815411
Flatliner,Cole Swindell,"{'dangerous': 1, 'send': 1, 'sing': 1}","{'pos': 0, 'neg': 1, 'neu': 2}","{'pos': 0, 'neg': 1, 'neu': 2}","{'pos': 0, 'neg': 0.2, 'neu': 1.6}","{'pos': 0, 'neg': 1.2, 'neu': 1.6}",0.677419355,0.677419355,0.894736842,0.586206897,,0.983155531,1.092535472
Perplexing Pegasus,Rae Sremmurd,"{'foreign': 6, 'woo': 6, 'flexed': 3, 'heard': 3, 'sleek': 3, 'vibrate': 1, 'different': 1, 'hard': 1, 'dirty': 1}","{'pos': 6, 'neg': 2, 'neu': 17}","{'pos': 0, 'neg': 8, 'neu': 17}","{'pos': 4.8, 'neg': 1.0, 'neu': 9.7}","{'pos': 0, 'neg': 9.2, 'neu': 14.0}",1.209424084,0.6812749,1.351851852,0.605150215,,0.959274343,1.042716788
For Her,Chris Lane,"{'soft': 1, 'faster': 1, 'beautiful': 1}","{'pos': 1, 'neg': 0, 'neu': 2}","{'pos': 1, 'neg': 0, 'neu': 2}","{'pos': 0.2, 'neg': 0, 'neu': 0.5}","{'pos': 1.2, 'neg': 0, 'neu': 2.4}",1.476190476,1.476190476,1.333333333,1.48,,1.06150692,1.134064595
Patty Cake,Kodak Black,"{'bald': 3, 'woo': 1, 'new': 1, 'lose': 1, 'accept': 1, 'taller': 1, 'bought': 1, 'connect': 1}","{'pos': 2, 'neg': 1, 'neu': 7}","{'pos': 1, 'neg': 0, 'neu': 9}","{'pos': 1.6, 'neg': 0.8, 'neu': 4.5}","{'pos': 1.2, 'neg': 0, 'neu': 7.6}",1.12345679,1.10989011,1.148148148,1.155844156,,1.038314176,1.120709166
4:00 AM,2 Chainz Featuring Travis Scott,"{'ooh': 20, 'send': 4, 'please': 3, 'believe': 3, 'dangerous': 3, 'pregnant': 3, 'drench': 2, 'threw': 1, 'different': 1, 'alive': 1, 'hard': 1, 'new': 1, 'deserve': 1, 'up': 1, 'live': 1, 'strong': 1}","{'pos': 5, 'neg': 4, 'neu': 38}","{'pos': 6, 'neg': 4, 'neu': 37}","{'pos': 2.9, 'neg': 1.0, 'neu': 27.6}","{'pos': 6.8, 'neg': 4.8, 'neu': 30.4}",1.023752969,1.0486618,1.066202091,1.056657224,,1.070801473,1.110395584
Untouchable,YoungBoy Never Broke Again,"{'lose': 2, 'remember': 1, 'quit': 1, 'many': 1, 'prove': 1, 'maintain': 1, 'hear': 1, 'forget': 1, 'jeopardize': 1, 'appreciate': 1}","{'pos': 1, 'neg': 3, 'neu': 7}","{'pos': 1, 'neg': 0, 'neu': 10}","{'pos': 0.8, 'neg': 2.4, 'neu': 5.0}","{'pos': 1.2, 'neg': 0, 'neu': 8.0}",0.801980198,1.099009901,0.786666667,1.148148148,,1.038816109,0.960994637
Privacy,Chris Brown,"{'tight': 4, 'ooh': 2, 'understand': 1, 'slow': 1, 'eat': 1, 'long': 1}","{'pos': 0, 'neg': 0, 'neu': 10}","{'pos': 0, 'neg': 5, 'neu': 5}","{'pos': 0, 'neg': 0, 'neu': 5.8}","{'pos': 0, 'neg': 5.6, 'neu': 4.0}",1,0.504950495,1,0.422680412,,1.024726245,1.003608805
Know No Better,"Major Lazer Featuring Travis Scott, Camila Cabello & Quavo","{'ooh': 8, 'fresh': 6, 'different': 3, 'dipped': 2, 'ignore': 2, 'shut': 2, 'foreign': 1, 'please': 1, 'afford': 1, 'late': 1}","{'pos': 7, 'neg': 2, 'neu': 18}","{'pos': 6, 'neg': 2, 'neu': 19}","{'pos': 2.2, 'neg': 1.6, 'neu': 11.6}","{'pos': 7.2, 'neg': 2.4, 'neu': 16.4}",1.248756219,1.18957346,1.045112782,1.253968254,,1.173367761,1.353557399
In Case You Didn't Know,Brett Young,"{'long': 8, 'live': 3, 'write': 1, 'hear': 1, 'belong': 1}","{'pos': 0, 'neg': 0, 'neu': 14}","{'pos': 3, 'neg': 0, 'neu': 11}","{'pos': 0, 'neg': 0, 'neu': 11.2}","{'pos': 2.4, 'neg': 0, 'neu': 8.8}",1,1.27027027,1,1.269662921,,1,1
Slippery,Migos Featuring Gucci Mane,"{'believe': 12, 'please': 8, 'woo': 6, 'slippery': 5, 'warm': 4, 'drank': 4, 'heard': 4, 'big': 4, 'strong': 2, 'survive': 2, 'iced': 1, 'honest': 1, 'robotic': 1, 'promote': 1, 'unlock': 1, 'abnormal': 1, 'seize': 1}","{'pos': 22, 'neg': 0, 'neu': 36}","{'pos': 7, 'neg': 0, 'neu': 51}","{'pos': 15.9, 'neg': 0, 'neu': 22.6}","{'pos': 6.8, 'neg': 0, 'neu': 45.2}",1.609418283,1.136986301,1.700440529,1.150110375,,1.005648654,1.003951788
Craving You,Thomas Rhett Featuring Maren Morris,"{'crave': 16, 'strong': 2, 'long': 2, 'paralyze': 2}","{'pos': 2, 'neg': 0, 'neu': 20}","{'pos': 2, 'neg': 0, 'neu': 20}","{'pos': 0.5, 'neg': 0, 'neu': 16.0}","{'pos': 2.4, 'neg': 0, 'neu': 16.0}",1.099502488,1.099502488,1.031055901,1.149068323,,1.078515346,1.07293946
