week_start,vader,textblob,textblob_full,vader_full,,WEIGHTED_spotify_bert_old,WEIGHTED_spotify_flair_old,DJIA,ICC,song_flair_old,song_bert_old
6/30/20,1.814547196,1.866831906,1.036609235,1.064346596,,3.319586716,-0.264950925,26840.4,78.1,-0.246366282,2.991214657
7/7/20,1.840734035,1.88025003,1.038688144,1.064018211,,3.336082256,-0.218003377,26379.28,72.5,-0.208307107,3.020902567
7/14/20,1.972035925,1.8829543,1.039134511,1.07111338,,3.241092401,-0.316622419,26828.47,72.5,-0.30454685,2.944186343
7/21/20,1.830310925,1.873332834,1.038711919,1.061990177,,3.315787387,-0.385213557,27686.91,72.5,-0.3640717,2.98973782
7/28/20,1.852660835,1.915392534,1.04188818,1.061936516,,3.355309211,-0.340979279,27778.07,72.5,-0.331872211,3.015907216
8/4/20,1.850146649,1.901340886,1.035261178,1.051908371,,3.326862004,-0.359353838,28248.44,74.1,-0.322696636,2.98085667
8/11/20,1.848294615,1.903565102,1.043645599,1.064909338,,3.346411982,-0.356358467,28645.66,74.1,-0.320299777,2.986710123
8/18/20,1.85722769,1.973127081,1.045370482,1.069060588,,3.350855532,-0.388014217,27500.89,74.1,-0.357896336,3.012077486
8/25/20,1.882907828,1.992552506,1.044009038,1.068066721,,3.382254819,-0.43138067,27995.6,74.1,-0.378678502,3.00473431
9/1/20,1.902724615,2.001687365,1.045622435,1.070885148,,3.357443664,-0.461663272,27288.18,80.4,-0.407875898,2.977821636
9/8/20,1.896149268,1.989902214,1.045437179,1.076991492,,3.361423271,-0.42087048,27452.66,80.4,-0.365902908,2.989843642
9/15/20,1.901022536,2.005105504,1.043110282,1.07098869,,3.309046842,-0.365538381,27772.76,80.4,-0.31404242,2.958744951
9/22/20,1.860212749,1.99358674,1.04015014,1.063405396,,3.268874801,-0.439837721,28679.81,80.4,-0.402089787,2.935705198
9/29/20,1.880957921,2.030674497,1.04136862,1.073628331,,3.232717947,-0.386220116,28308.79,80.4,-0.327798579,2.969763685
10/6/20,1.874709336,2.01352654,1.044219798,1.077665957,,3.281099199,-0.381487477,27463.19,81.8,-0.31525984,2.999065236
10/13/20,1.860122325,2.005728366,1.044323731,1.07515641,,3.304220212,-0.350250417,27480.03,81.8,-0.316645827,3.014352599
10/20/20,1.877967778,2.028058572,1.045930029,1.077698168,,3.373652974,-0.258534933,29420.92,81.8,-0.217635829,3.051700956
10/27/20,1.896453698,1.960975428,1.041556528,1.07418096,,3.292149102,-0.264481628,29783.35,81.8,-0.241056247,3.03671055
11/3/20,1.906146404,1.941828994,1.046949968,1.078108171,,3.35566515,-0.330134069,30046.24,76.9,-0.285607237,3.072225769
11/10/20,1.935891837,1.950216299,1.048392712,1.088507799,,3.405907517,-0.323212839,29823.92,76.9,-0.276678283,3.103125079
11/17/20,1.933921558,1.964702862,1.04917548,1.078760191,,3.350795601,-0.378720592,30173.88,76.9,-0.357168114,3.054434184
11/24/20,1.939146282,1.960233806,1.042081439,1.079414876,,3.257637871,-0.357664144,30199.31,76.9,-0.318266254,3.050736459
12/1/20,1.909515995,2.737641824,1.050117683,1.102234086,,3.209384766,-0.246656858,30015.51,80.7,-0.190154459,3.030103822
12/8/20,2.062398761,2.344501703,1.050810259,1.100839999,,3.224887583,-0.014273773,30335.67,80.7,0.06774106,3.188324882
12/15/20,1.252102005,1.508254371,1.046022008,1.103244096,,3.241259781,-0.101194975,30391.6,80.7,0.00640017,3.314594829
12/22/20,1.251778934,1.17190419,1.031921221,1.090565517,,3.235124792,-0.091848504,31068.69,80.7,0.006732776,3.332536066
12/29/20,1.548894061,1.213443476,1.038759775,1.093719636,,3.131589794,-0.08967995,30930.52,80.7,0.042619923,3.418643878
