song,artist,position,average,standard_deviation
2055,Sleepy Hallow,"{'2021-11-06': 76, '2021-10-30': 72, '2021-10-23': 58, '2021-10-16': 63, '2021-10-09': 78, '2021-10-02': 65, '2021-09-25': 66, '2021-09-18': 75, '2021-09-11': 62, '2021-09-04': 51, '2021-08-28': 51, '2021-08-21': 53, '2021-08-14': 53, '2021-08-07': 63, '2021-07-31': 87}",64.86666667,10.55061873
Maybach,42 Dugg Featuring Future,"{'2021-11-06': 77, '2021-10-30': 85, '2021-10-23': 85, '2021-06-12': 80, '2021-06-05': 68}",79,6.292853089
WFM,Realestk,"{'2021-11-06': 78, '2021-10-30': 67, '2021-10-23': 75}",73.33333333,4.642796092
Poke It Out,Wale Featuring J. Cole,{'2021-11-06': 79},79,0
Praise God,Kanye West,"{'2021-11-06': 80, '2021-10-30': 89, '2021-10-23': 99, '2021-09-18': 66, '2021-09-11': 20}",70.8,27.62173058
Lo Siento BB:/,"Tainy, Bad Bunny & Julieta Venegas","{'2021-11-06': 81, '2021-10-30': 73, '2021-10-23': 51}",68.33333333,12.68419839
Freedom Was A Highway,Jimmie Allen & Brad Paisley,"{'2021-11-06': 82, '2021-10-30': 84, '2021-10-23': 88}",84.66666667,2.494438258
For Tonight,Giveon,"{'2021-11-06': 83, '2021-10-30': 88, '2021-10-23': 98, '2021-10-09': 91}",90,5.431390246
Thot Shit,Megan Thee Stallion,"{'2021-11-06': 84, '2021-10-30': 82, '2021-10-23': 71, '2021-10-16': 70, '2021-10-09': 73, '2021-10-02': 49, '2021-09-25': 48, '2021-09-18': 57, '2021-09-11': 46, '2021-09-04': 27, '2021-08-28': 27, '2021-08-21': 29, '2021-08-14': 30, '2021-08-07': 28, '2021-07-31': 25, '2021-07-24': 25, '2021-07-17': 17, '2021-07-10': 16, '2021-07-03': 17, '2021-06-26': 16}",41.85,22.81945442
Like A Lady,Lady A,"{'2021-11-06': 85, '2021-10-30': 99, '2021-10-23': 90}",91.33333333,5.792715732
Get Into It (Yuh),Doja Cat,"{'2021-11-06': 86, '2021-10-30': 86, '2021-10-23': 79, '2021-10-16': 85, '2021-10-09': 94, '2021-10-02': 84, '2021-09-25': 85, '2021-09-18': 88, '2021-09-11': 81, '2021-09-04': 68, '2021-08-28': 75, '2021-07-10': 93}",83.66666667,6.932211448
Scorpio,Moneybagg Yo,{'2021-11-06': 87},87,0
Big Energy,Latto,{'2021-11-06': 88},88,0
Half Of My Hometown,Kelsea Ballerini Featuring Kenny Chesney,{'2021-11-06': 89},89,0
Money,Cardi B,"{'2021-11-06': 90, '2019-04-27': 50, '2019-04-20': 44, '2019-04-13': 36, '2019-04-06': 28, '2019-03-30': 26, '2019-03-23': 23, '2019-03-16': 23, '2019-03-09': 20, '2019-03-02': 16, '2019-02-23': 19, '2019-02-16': 16, '2019-02-09': 13, '2019-02-02': 13, '2019-01-26': 13, '2019-01-19': 17, '2019-01-12': 17, '2019-01-05': 19, '2018-12-29': 30, '2018-12-22': 29, '2018-12-15': 28, '2018-12-08': 24, '2018-12-01': 21, '2018-11-24': 25, '2018-11-17': 24, '2018-11-10': 13, '2018-11-03': 54}",27.07407407,16.22281413
No Friends In The Industry,Drake,"{'2021-11-06': 91, '2021-10-30': 87, '2021-10-23': 74, '2021-10-16': 64, '2021-10-09': 60, '2021-10-02': 40, '2021-09-25': 22, '2021-09-18': 11}",56.125,27.44739286
"Ya Superame (En Vivo Desde Culiacan, Sinaloa)",Grupo Firme,"{'2021-11-06': 92, '2021-10-30': 92}",92,0
Who's In Your Head,Jonas Brothers,"{'2021-11-06': 93, '2021-10-30': 96, '2021-10-23': 95}",94.66666667,1.247219129
In The Bible,Drake Featuring Lil Durk & Giveon,"{'2021-11-06': 94, '2021-10-30': 94, '2021-10-23': 83, '2021-10-16': 79, '2021-10-09': 72, '2021-10-02': 43, '2021-09-25': 29, '2021-09-18': 7}",62.625,30.31063139
Just About Over You,Priscilla Block,"{'2021-11-06': 95, '2021-10-30': 100, '2021-10-23': 97}",97.33333333,2.054804668
To Be Loved By You,Parker McCollum,{'2021-11-06': 96},96,0
Ain't Shit,Doja Cat,"{'2021-11-06': 97, '2021-10-23': 96, '2021-09-25': 97, '2021-09-18': 97, '2021-09-11': 88, '2021-09-04': 65, '2021-08-28': 59, '2021-08-21': 47, '2021-08-14': 41, '2021-08-07': 34, '2021-07-31': 31, '2021-07-24': 34, '2021-07-17': 41, '2021-07-10': 24}",60.78571429,27.49591806
Life Goes On,Lil Baby Featuring Gunna & Lil Uzi Vert,"{'2021-11-06': 98, '2021-10-23': 91, '2020-12-19': 93, '2020-12-12': 28, '2020-12-05': 1, '2018-07-07': 89, '2018-06-30': 86, '2018-06-23': 89, '2018-06-16': 92, '2018-06-09': 74, '2018-06-02': 80}",74.63636364,29.57355307
Come Through,H.E.R. Featuring Chris Brown,"{'2021-11-06': 99, '2021-10-02': 99, '2021-09-25': 95, '2021-09-11': 92, '2021-09-04': 83, '2021-08-28': 73, '2021-08-21': 71, '2021-08-14': 82, '2021-08-07': 76, '2021-07-31': 84, '2021-07-24': 79, '2021-07-17': 79, '2021-07-10': 91, '2021-07-03': 70, '2021-05-29': 89, '2021-05-08': 64}",82.875,10.28879852
Nevada,YoungBoy Never Broke Again,"{'2021-11-06': 100, '2021-10-23': 89, '2021-10-16': 86, '2021-10-09': 58}",83.25,15.48184421
Leave Before You Love Me,Marshmello X Jonas Brothers,"{'2021-10-30': 49, '2021-10-23': 48, '2021-10-16': 40, '2021-10-09': 39, '2021-10-02': 26, '2021-09-25': 32, '2021-09-18': 40, '2021-09-11': 33, '2021-09-04': 21, '2021-08-28': 23, '2021-08-21': 19, '2021-08-14': 20, '2021-08-07': 24, '2021-07-31': 24, '2021-07-24': 28, '2021-07-17': 28, '2021-07-10': 31, '2021-07-03': 37, '2021-06-26': 58, '2021-06-19': 69, '2021-06-12': 72, '2021-06-05': 85}",38.45454545,17.8344082
Deja Vu,J. Cole,"{'2021-10-30': 50, '2021-10-23': 42, '2021-10-16': 31, '2021-10-09': 30, '2021-10-02': 23, '2021-09-25': 20, '2021-09-18': 31, '2021-09-11': 13, '2021-09-04': 8, '2021-08-28': 9, '2021-08-21': 10, '2021-08-14': 9, '2021-08-07': 10, '2021-07-31': 9, '2021-07-24': 10, '2021-07-17': 10, '2021-07-10': 10, '2021-07-03': 9, '2021-06-26': 10, '2021-06-19': 9, '2021-06-12': 8, '2021-06-05': 3, '2021-05-29': 21, '2021-05-22': 17, '2021-05-15': 15, '2021-05-08': 12, '2021-05-01': 11, '2021-04-24': 15, '2021-04-17': 8, '2017-06-10': 43, '2017-05-13': 100, '2017-05-06': 89, '2017-04-29': 71, '2017-04-22': 73, '2017-04-15': 70, '2017-04-08': 80, '2017-04-01': 57, '2017-03-25': 64, '2017-03-18': 54, '2017-03-11': 55, '2017-03-04': 50, '2017-02-25': 51, '2017-02-18': 47, '2017-02-11': 46, '2017-02-04': 48, '2017-01-28': 48, '2017-01-21': 47, '2017-01-14': 46, '2017-01-07': 35}",33.40816327,24.93085816
Ex For A Reason,Summer Walker & JT,{'2021-10-30': 56},56,0
Late At Night,Roddy Ricch,"{'2021-10-30': 60, '2021-10-23': 57, '2021-10-16': 49, '2021-10-09': 44, '2021-10-02': 45, '2021-09-25': 49, '2021-09-18': 59, '2021-09-11': 48, '2021-09-04': 31, '2021-08-28': 26, '2021-08-21': 26, '2021-08-14': 29, '2021-08-07': 29, '2021-07-31': 33, '2021-07-24': 33, '2021-07-17': 32, '2021-07-10': 33, '2021-07-03': 32, '2021-06-26': 35, '2021-06-19': 20}",38.5,11.59094474
Livin It Up,Young Thug With Post Malone & A$AP Rocky,{'2021-10-30': 68},68,0
Stressed,Young Thug With J. Cole & T-Shyne,{'2021-10-30': 69},69,0
Rich N***a Shit,Young Thug With Juice WRLD,{'2021-10-30': 78},78,0
Yonaguni,Bad Bunny,"{'2021-10-30': 79, '2021-10-23': 76, '2021-10-16': 82, '2021-10-09': 89, '2021-10-02': 85, '2021-09-25': 87, '2021-09-18': 84, '2021-09-11': 73, '2021-09-04': 58, '2021-08-28': 56, '2021-08-21': 56, '2021-08-14': 55, '2021-08-07': 50, '2021-07-31': 44, '2021-07-24': 38, '2021-07-17': 30, '2021-07-10': 27, '2021-07-03': 22, '2021-06-26': 18, '2021-06-19': 10}",55.95,24.81022975
Champagne Poetry,Drake,"{'2021-10-30': 90, '2021-10-23': 77, '2021-10-16': 65, '2021-10-09': 54, '2021-10-02': 30, '2021-09-25': 19, '2021-09-18': 4}",48.42857143,29.34940809
Let Somebody Go,Coldplay X Selena Gomez,{'2021-10-30': 91},91,0
You Time,Scotty McCreery,"{'2021-10-30': 93, '2021-10-23': 80, '2021-10-16': 54, '2021-10-09': 63, '2021-10-02': 50, '2021-09-25': 69, '2021-09-18': 72, '2021-09-11': 82, '2021-09-04': 85, '2021-08-28': 74, '2021-08-21': 81, '2021-08-14': 96}",74.91666667,13.63487155
Peepin Out The Window,Young Thug With Future & BSlime,{'2021-10-30': 95},95,0
Woo Baby,Pop Smoke Featuring Chris Brown,"{'2021-10-30': 97, '2021-10-23': 92, '2021-07-31': 64}",84.33333333,14.52201394
Flocky Flocky,Don Toliver Featuring Travis Scott,"{'2021-10-30': 98, '2021-10-23': 53}",75.5,22.5
Peaches,Justin Bieber Featuring Daniel Caesar & Giveon,"{'2021-10-23': 41, '2021-10-16': 39, '2021-10-09': 41, '2021-10-02': 36, '2021-09-25': 40, '2021-09-18': 47, '2021-09-11': 31, '2021-09-04': 18, '2021-08-28': 14, '2021-08-21': 12, '2021-08-14': 13, '2021-08-07': 12, '2021-07-31': 11, '2021-07-24': 11, '2021-07-17': 8, '2021-07-10': 7, '2021-07-03': 5, '2021-06-26': 5, '2021-06-19': 4, '2021-06-12': 6, '2021-06-05': 6, '2021-05-29': 6, '2021-05-22': 3, '2021-05-15': 3, '2021-05-08': 3, '2021-05-01': 3, '2021-04-24': 4, '2021-04-17': 3, '2021-04-10': 2, '2021-04-03': 1}",14.5,14.39154845
Todo de Ti,Rauw Alejandro,"{'2021-10-23': 70, '2021-10-16': 74, '2021-10-09': 86, '2021-10-02': 82, '2021-09-25': 82, '2021-09-18': 73, '2021-09-11': 69, '2021-09-04': 57, '2021-08-28': 54, '2021-08-21': 57, '2021-08-14': 56, '2021-08-07': 51, '2021-07-31': 45, '2021-07-24': 47, '2021-07-17': 39, '2021-07-10': 32, '2021-07-03': 36, '2021-06-26': 45, '2021-06-19': 53, '2021-06-12': 66}",58.7,15.51160856
Drinkin' Beer. Talkin' God. Amen.,Chase Rice Featuring Florida Georgia Line,"{'2021-10-23': 73, '2021-10-16': 71, '2021-10-09': 82, '2021-10-02': 77, '2021-09-25': 77, '2021-09-18': 71, '2021-09-11': 61, '2021-09-04': 53, '2021-08-28': 46, '2021-08-21': 38, '2021-08-14': 24, '2021-08-07': 32, '2021-07-31': 37, '2021-07-24': 40, '2021-07-17': 40, '2021-07-10': 50, '2021-07-03': 64, '2021-06-26': 78, '2021-06-19': 89, '2021-06-12': 75}",58.9,18.83321534
Your Heart,Joyner Lucas & J. Cole,"{'2021-10-23': 81, '2021-10-16': 61, '2021-10-09': 32}",58,20.11632836
Summer Of Love,Shawn Mendes & Tainy,"{'2021-10-23': 84, '2021-10-16': 84, '2021-10-09': 93, '2021-10-02': 87, '2021-09-25': 93, '2021-09-18': 96, '2021-09-11': 85, '2021-09-04': 48}",83.75,14.19286793
Waves,Luke Bryan,"{'2021-10-23': 87, '2021-10-16': 87, '2021-10-09': 70, '2021-10-02': 60, '2021-09-25': 52, '2021-09-18': 48, '2021-09-11': 37, '2021-09-04': 24, '2021-08-28': 30, '2021-08-21': 34, '2021-08-14': 35, '2021-08-07': 53, '2021-07-31': 61, '2021-07-24': 73, '2021-07-17': 74, '2021-07-10': 94, '2021-07-03': 90}",59.35294118,22.03724435
Life Support,YoungBoy Never Broke Again,"{'2021-10-23': 93, '2021-10-16': 88, '2021-10-09': 48, '2021-10-02': 79, '2021-09-25': 63}",74.2,16.606023
Bad Morning,YoungBoy Never Broke Again,"{'2021-10-23': 100, '2021-10-16': 81, '2021-10-09': 28}",69.66666667,30.46673961
Intro (Hate On Me),Meek Mill,{'2021-10-16': 36},36,0
Drunk (And I Don't Wanna Go Home),Elle King & Miranda Lambert,"{'2021-10-16': 55, '2021-10-09': 68, '2021-10-02': 70, '2021-09-25': 73, '2021-09-18': 79, '2021-09-11': 79, '2021-09-04': 62, '2021-08-28': 60, '2021-08-21': 59, '2021-08-14': 58, '2021-08-07': 64, '2021-07-31': 59, '2021-07-24': 53, '2021-07-17': 63, '2021-07-10': 76, '2021-07-03': 73, '2021-06-26': 90, '2021-06-19': 98, '2021-06-12': 92, '2021-05-29': 92, '2021-05-22': 98, '2021-05-08': 91, '2021-05-01': 79, '2021-03-13': 90}",74.20833333,14.14502023
Butter,BTS,"{'2021-10-16': 58, '2021-10-09': 36, '2021-10-02': 24, '2021-09-25': 14, '2021-09-18': 17, '2021-09-11': 1, '2021-09-04': 7, '2021-08-28': 8, '2021-08-21': 7, '2021-08-14': 4, '2021-08-07': 1, '2021-07-31': 1, '2021-07-24': 7, '2021-07-17': 1, '2021-07-10': 1, '2021-07-03': 1, '2021-06-26': 1, '2021-06-19': 1, '2021-06-12': 1, '2021-06-05': 1}",9.6,14.34363971
Hot,Young Thug Featuring Gunna,"{'2021-10-16': 60, '2020-02-22': 46, '2020-02-15': 47, '2020-02-08': 45, '2020-02-01': 42, '2020-01-25': 31, '2020-01-18': 21, '2020-01-11': 24, '2020-01-04': 33, '2019-12-28': 31, '2019-12-21': 33, '2019-12-14': 26, '2019-12-07': 21, '2019-11-30': 21, '2019-11-23': 16, '2019-11-16': 11, '2019-11-09': 35, '2019-11-02': 31, '2019-10-26': 32, '2019-10-19': 38, '2019-10-12': 37, '2019-10-05': 35, '2019-09-28': 39, '2019-09-21': 43, '2019-09-14': 38, '2019-09-07': 39, '2019-08-31': 26}",33.37037037,10.46740319
Expensive Pain,Meek Mill,{'2021-10-16': 66},66,0
On My Soul,Meek Mill,{'2021-10-16': 69},69,0
Blue Note$ II,Meek Mill Featuring Lil Uzi Vert,"{'2021-10-16': 72, '2021-09-18': 87}",79.5,7.5
Outside (100 MPH),Meek Mill,{'2021-10-16': 76},76,0
Last One Standing,"Skylar Grey, Polo G, Mozzy & Eminem",{'2021-10-16': 78},78,0
The Feels,TWICE,{'2021-10-16': 83},83,0
Me (FWM),Meek Mill Featuring A$AP Ferg,{'2021-10-16': 89},89,0
Love Train,Meek Mill,{'2021-10-16': 90},90,0
Feelin Like Tunechi,Lil Wayne Featuring Rich The Kid,{'2021-10-16': 91},91,0
Ride For You,Meek Mill Featuring Kehlani,{'2021-10-16': 95},95,0
TSU,Drake,"{'2021-10-16': 98, '2021-10-09': 84, '2021-10-02': 48, '2021-09-25': 27, '2021-09-18': 9}",53.2,33.53445989
Love All,Drake Featuring JAY-Z,"{'2021-10-16': 99, '2021-10-09': 87, '2021-10-02': 57, '2021-09-25': 35, '2021-09-18': 10}",57.6,32.72674747
No Where,YoungBoy Never Broke Again,"{'2021-10-16': 100, '2021-10-09': 40}",70,30
On My Side,YoungBoy Never Broke Again,"{'2021-10-09': 37, '2021-10-02': 71}",54,17
Things A Man Oughta Know,Lainey Wilson,"{'2021-10-09': 45, '2021-10-02': 34, '2021-09-25': 38, '2021-09-18': 51, '2021-09-11': 45, '2021-09-04': 32, '2021-08-28': 37, '2021-08-21': 39, '2021-08-14': 45, '2021-08-07': 54, '2021-07-31': 51, '2021-07-24': 59, '2021-07-17': 51, '2021-07-10': 70, '2021-07-03': 58, '2021-06-26': 81, '2021-06-19': 96, '2021-06-12': 93, '2021-06-05': 100, '2021-05-29': 94}",58.65,21.81576265
Hold Me Down,YoungBoy Never Broke Again,{'2021-10-09': 53},53,0
50 Shots,YoungBoy Never Broke Again,{'2021-10-09': 59},59,0
Smoke Strong,YoungBoy Never Broke Again,{'2021-10-09': 61},61,0
Break Or Make Me,YoungBoy Never Broke Again,{'2021-10-09': 62},62,0
Sincerely,YoungBoy Never Broke Again,{'2021-10-09': 67},67,0
I Can't Take It Back,YoungBoy Never Broke Again,{'2021-10-09': 69},69,0
Rumors,Lizzo Featuring Cardi B,"{'2021-10-09': 74, '2021-10-02': 46, '2021-09-25': 44, '2021-09-18': 55, '2021-09-11': 32, '2021-09-04': 17, '2021-08-28': 4}",38.85714286,21.75466171
Forgiato,YoungBoy Never Broke Again,{'2021-10-09': 80},80,0
Rich Shit,YoungBoy Never Broke Again,{'2021-10-09': 83},83,0
N 2 Deep,Drake Featuring Future,"{'2021-10-09': 88, '2021-10-02': 59, '2021-09-25': 33, '2021-09-18': 12}",48,28.46928169
Baddest Thing,YoungBoy Never Broke Again,{'2021-10-09': 92},92,0
Pipe Down,Drake,"{'2021-10-09': 96, '2021-10-02': 68, '2021-09-25': 45, '2021-09-18': 14}",55.75,30.11955345
Papi's Home,Drake,"{'2021-10-09': 97, '2021-10-02': 66, '2021-09-25': 41, '2021-09-18': 8}",53,32.68791826
Toxic Punk,YoungBoy Never Broke Again,{'2021-10-09': 99},99,0
Moon,Kanye West,"{'2021-10-09': 100, '2021-10-02': 76, '2021-09-25': 58, '2021-09-18': 50, '2021-09-11': 17}",60.2,27.6
Wildest Dreams (Taylor's Version),Taylor Swift,{'2021-10-02': 37},37,0
Arcade,Duncan Laurence,"{'2021-10-02': 41, '2021-09-25': 42, '2021-09-18': 54, '2021-09-11': 44, '2021-09-04': 30, '2021-08-28': 38, '2021-08-21': 41, '2021-08-14': 50, '2021-08-07': 55, '2021-07-31': 57, '2021-07-24': 58, '2021-07-17': 58, '2021-07-10': 69, '2021-07-03': 61, '2021-06-26': 74, '2021-06-19': 86, '2021-06-12': 85, '2021-06-05': 88, '2021-05-29': 80, '2021-05-22': 78, '2021-05-15': 89, '2021-05-08': 90, '2021-05-01': 94, '2021-04-17': 100}",65.08333333,20.23593476
Scoop,Lil Nas X Featuring Doja Cat,{'2021-10-02': 42},42,0
Dolla Sign Slime,Lil Nas X Featuring Megan Thee Stallion,{'2021-10-02': 47},47,0
Lonely,Justin Bieber & benny blanco,"{'2021-10-02': 63, '2021-09-25': 68, '2021-03-13': 41, '2021-03-06': 30, '2021-02-27': 22, '2021-02-20': 16, '2021-02-13': 12, '2021-02-06': 13, '2021-01-30': 14, '2021-01-23': 12, '2021-01-16': 18, '2021-01-09': 25, '2021-01-02': 53, '2020-12-26': 51, '2020-12-19': 50, '2020-12-12': 46, '2020-12-05': 32, '2020-11-28': 26, '2020-11-21': 21, '2020-11-14': 21, '2020-11-07': 27, '2020-10-31': 14}",30.68181818,16.97427563
Dead Right Now,Lil Nas X,{'2021-10-02': 72},72,0
Tales Of Dominica,Lil Nas X,{'2021-10-02': 86},86,0
One Of Me,Lil Nas X Featuring Elton John,{'2021-10-02': 88},88,0
Race My Mind,Drake,"{'2021-10-02': 89, '2021-09-25': 54, '2021-09-18': 18}",53.66666667,28.98658694
Lost In The Citadel,Lil Nas X,{'2021-10-02': 90},90,0
Sun Goes Down,Lil Nas X,"{'2021-10-02': 91, '2021-06-05': 66}",78.5,12.5
7am On Bridle Path,Drake,"{'2021-10-02': 92, '2021-09-25': 57, '2021-09-18': 16}",55,31.05908348
Off The Grid,Kanye West,"{'2021-10-02': 93, '2021-09-25': 75, '2021-09-18': 41, '2021-09-11': 11}",55,31.52776554
In Da Getto,J Balvin & Skrillex,"{'2021-10-02': 94, '2021-09-25': 90, '2021-09-11': 96}",93.33333333,2.494438258
Skate,Silk Sonic (Bruno Mars & Anderson .Paak),"{'2021-10-02': 95, '2021-09-25': 71, '2021-09-18': 67, '2021-09-11': 57, '2021-09-04': 38, '2021-08-28': 31, '2021-08-21': 35, '2021-08-14': 14}",51,24.55096739
Am I Dreaming,Lil Nas X Featuring Miley Cyrus,{'2021-10-02': 97},97,0
Don't Go Yet,Camila Cabello,"{'2021-10-02': 100, '2021-09-25': 88, '2021-09-18': 93, '2021-09-11': 89, '2021-09-04': 71, '2021-08-28': 64, '2021-08-21': 66, '2021-08-14': 63, '2021-08-07': 42}",75.11111111,17.52740359
Country Again,Thomas Rhett,"{'2021-09-25': 47, '2021-09-18': 52, '2021-09-11': 51, '2021-09-04': 42, '2021-08-28': 43, '2021-08-21': 43, '2021-08-14': 51, '2021-08-07': 52, '2021-07-31': 66, '2021-07-24': 71, '2021-07-17': 71, '2021-07-10': 86, '2021-07-03': 75, '2021-06-26': 92, '2021-06-19': 97, '2021-06-12': 89, '2021-06-05': 96, '2021-05-29': 99, '2021-05-22': 95, '2021-05-15': 73}",69.55,20.20018564
Range Brothers,Baby Keem & Kendrick Lamar,{'2021-09-25': 53},53,0
Every Chance I Get,DJ Khaled Featuring Lil Baby & Lil Durk,"{'2021-09-25': 60, '2021-09-18': 64, '2021-09-11': 49, '2021-09-04': 25, '2021-08-28': 24, '2021-08-21': 23, '2021-08-14': 21, '2021-08-07': 23, '2021-07-31': 22, '2021-07-24': 23, '2021-07-17': 21, '2021-07-10': 28, '2021-07-03': 30, '2021-06-26': 34, '2021-06-19': 32, '2021-06-12': 26, '2021-06-05': 34, '2021-05-29': 35, '2021-05-22': 21, '2021-05-15': 20}",30.75,12.45341319
IMY2,Drake Featuring Kid Cudi,"{'2021-09-25': 72, '2021-09-18': 22}",47,25
Yebba's Heartbreak,Drake & Yebba,"{'2021-09-25': 76, '2021-09-18': 24}",50,26
Get Along Better,Drake Featuring Ty Dolla $ign,"{'2021-09-25': 78, '2021-09-18': 27}",52.5,25.5
You Only Live Twice,Drake Featuring Lil Wayne & Rick Ross,"{'2021-09-25': 83, '2021-09-18': 25}",54,29
Lalisa,Lisa,{'2021-09-25': 84},84,0
Fountains,Drake Featuring Tems,"{'2021-09-25': 86, '2021-09-18': 26}",56,30
Single Saturday Night,Cole Swindell,"{'2021-09-25': 89, '2021-09-18': 90, '2021-09-11': 83, '2021-09-04': 61, '2021-08-28': 52, '2021-08-21': 46, '2021-08-14': 40, '2021-08-07': 26, '2021-07-31': 27, '2021-07-24': 27, '2021-07-17': 26, '2021-07-10': 53, '2021-07-03': 50, '2021-06-26': 60, '2021-06-19': 72, '2021-06-12': 70, '2021-06-05': 78, '2021-05-29': 77, '2021-05-22': 80, '2021-05-15': 95}",60.1,22.41851913
We Didn't Have Much,Justin Moore,"{'2021-09-25': 96, '2021-09-18': 81, '2021-09-11': 65, '2021-09-04': 41, '2021-08-28': 47, '2021-08-21': 58, '2021-08-14': 60, '2021-08-07': 62, '2021-07-31': 65, '2021-07-24': 70, '2021-07-17': 75, '2021-07-10': 87, '2021-07-03': 85}",68.61538462,15.28970725
Jail,Kanye West,"{'2021-09-25': 99, '2021-09-18': 58, '2021-09-11': 10}",55.66666667,36.37153955
Fucking Fans,Drake,{'2021-09-18': 32},32,0
The Remorse,Drake,{'2021-09-18': 35},35,0
Ok Ok,Kanye West,"{'2021-09-18': 65, '2021-09-11': 12}",38.5,26.5
Junya,Kanye West,"{'2021-09-18': 78, '2021-09-11': 16}",47,31
Believe What I Say,Kanye West,"{'2021-09-18': 85, '2021-09-11': 28}",56.5,28.5
Jonah,Kanye West,"{'2021-09-18': 91, '2021-09-11': 27}",59,32
Jesus Lord,Kanye West,"{'2021-09-18': 95, '2021-09-11': 26}",60.5,34.5
Motley Crew,Post Malone,"{'2021-09-18': 98, '2021-09-11': 86, '2021-09-04': 64, '2021-08-28': 53, '2021-08-21': 48, '2021-08-14': 39, '2021-08-07': 33, '2021-07-31': 23, '2021-07-24': 13}",50.77777778,26.48176638
Remote Control,Kanye West,"{'2021-09-18': 99, '2021-09-11': 40}",69.5,29.5
God Breathed,Kanye West,{'2021-09-11': 30},30,0
Heartbreak Anniversary,Giveon,"{'2021-09-11': 34, '2021-09-04': 19, '2021-08-28': 19, '2021-08-21': 17, '2021-08-14': 17, '2021-08-07': 18, '2021-07-31': 16, '2021-07-24': 18, '2021-07-17': 19, '2021-07-10': 20, '2021-07-03': 16, '2021-06-26': 22, '2021-06-19': 23, '2021-06-12': 23, '2021-06-05': 30, '2021-05-29': 32, '2021-05-22': 23, '2021-05-15': 22, '2021-05-08': 17, '2021-05-01': 20, '2021-04-24': 26, '2021-04-17': 22, '2021-04-10': 28, '2021-04-03': 29, '2021-03-27': 30, '2021-03-20': 52, '2021-03-13': 54, '2021-03-06': 63, '2021-02-27': 74}",27.68965517,14.4558864
Forever After All,Luke Combs,"{'2021-09-11': 41, '2021-09-04': 23, '2021-08-28': 25, '2021-08-21': 24, '2021-08-14': 23, '2021-08-07': 22, '2021-07-31': 21, '2021-07-24': 22, '2021-07-17': 18, '2021-07-10': 19, '2021-07-03': 12, '2021-06-26': 12, '2021-06-19': 13, '2021-06-12': 15, '2021-06-05': 20, '2021-05-29': 22, '2021-05-22': 22, '2021-05-15': 23, '2021-05-08': 29, '2021-05-01': 35, '2021-04-24': 44, '2021-04-17': 45, '2021-04-10': 54, '2021-04-03': 61, '2021-03-27': 61, '2021-03-20': 67, '2021-03-13': 65, '2021-03-06': 68, '2021-02-27': 66, '2021-02-20': 67, '2021-02-13': 68, '2021-02-06': 66, '2021-01-30': 65, '2021-01-23': 67, '2021-01-16': 51, '2021-01-09': 55, '2021-01-02': 73, '2020-12-26': 92, '2020-12-19': 66, '2020-12-12': 68, '2020-12-05': 53, '2020-11-28': 40, '2020-11-21': 27, '2020-11-14': 18, '2020-11-07': 2}",41.11111111,22.45214389
Heaven And Hell,Kanye West,{'2021-09-11': 42},42,0
24,Money Man Featuring Lil Baby,"{'2021-09-11': 43, '2020-11-28': 89, '2020-11-21': 67, '2020-11-14': 66, '2020-11-07': 52, '2020-10-31': 51, '2020-10-24': 49, '2020-10-17': 60, '2020-10-10': 54, '2020-10-03': 60, '2020-09-26': 68, '2020-09-19': 73, '2020-09-12': 67, '2020-09-05': 63, '2020-08-29': 71}",62.2,11.12474719
Pure Souls,Kanye West,{'2021-09-11': 52},52,0
No Child Left Behind,Kanye West,{'2021-09-11': 53},53,0
Donda,Kanye West,{'2021-09-11': 58},58,0
Keep My Spirit Alive,Kanye West,{'2021-09-11': 59},59,0
Jail Pt 2,Kanye West,{'2021-09-11': 63},63,0
"I Am Not A Woman, I'm A God",Halsey,{'2021-09-11': 64},64,0
New Again,Kanye West,{'2021-09-11': 68},68,0
Lord I Need You,Kanye West,{'2021-09-11': 70},70,0
Come To Life,Kanye West,{'2021-09-11': 77},77,0
Tell The Vision,Pop Smoke Featuring Kanye West & Pusha T,"{'2021-09-11': 90, '2021-07-31': 49}",69.5,20.5
Brutal,Olivia Rodrigo,"{'2021-09-11': 97, '2021-09-04': 89, '2021-08-07': 95, '2021-07-31': 88, '2021-07-24': 76, '2021-07-17': 68, '2021-07-10': 73, '2021-07-03': 54, '2021-06-26': 52, '2021-06-19': 35, '2021-06-12': 19, '2021-06-05': 12}",63.16666667,27.83532927
