song,artist,position,average,standard_deviation
Chosen,Blxst & Tyga Featuring Ty Dolla $ign,"{'2021-11-06': 56, '2021-10-30': 63, '2021-10-23': 65, '2021-10-16': 80, '2021-10-09': 98}",72.4,15.00133327
Baddest,"Yung Bleu, Chris Brown & 2 Chainz","{'2021-11-06': 57, '2021-10-30': 59, '2021-10-23': 56, '2021-10-16': 56, '2021-10-09': 77, '2021-10-02': 78, '2021-09-25': 94, '2021-09-18': 100, '2021-09-11': 94, '2021-09-04': 88, '2021-08-28': 80, '2021-08-21': 90, '2021-08-14': 87}",78.15384615,15.43146712
Knowing You,Kenny Chesney,"{'2021-11-06': 58, '2021-10-30': 64, '2021-10-23': 62, '2021-10-16': 67, '2021-10-09': 90, '2021-10-02': 96, '2021-09-25': 100, '2021-09-11': 95, '2021-09-04': 95, '2021-08-28': 87, '2021-08-21': 93}",82.45454545,15.34668242
Memory,Kane Brown X blackbear,"{'2021-11-06': 59, '2021-10-30': 62, '2021-10-23': 60, '2021-10-16': 68, '2021-10-09': 79, '2021-10-02': 73, '2021-09-25': 81, '2021-09-18': 86, '2021-09-11': 75, '2021-09-04': 66, '2021-08-28': 62, '2021-08-21': 64, '2021-08-14': 68, '2021-08-07': 61, '2021-07-31': 70, '2021-07-24': 50}",67.75,9.017344398
Cold Beer Calling My Name,Jameson Rodgers Featuring Luke Combs,"{'2021-11-06': 60, '2021-10-30': 54, '2021-10-23': 33, '2021-10-16': 28, '2021-10-09': 26, '2021-10-02': 29, '2021-09-25': 43, '2021-09-18': 56, '2021-09-11': 55, '2021-09-04': 45, '2021-08-28': 50, '2021-08-21': 54, '2021-08-14': 79, '2021-08-07': 78, '2021-07-31': 100, '2021-07-24': 95, '2021-07-17': 95}",57.64705882,23.31104554
Not In The Mood,"Lil Tjay, Fivio Foreign & Kay Flock",{'2021-11-06': 61},61,0
Pissed Me Off,Lil Durk,"{'2021-11-06': 62, '2021-10-30': 39}",50.5,11.5
Woman,Kesha Featuring The Dap-Kings Horns,"{'2021-11-06': 63, '2021-10-30': 65, '2021-10-23': 63, '2021-10-16': 62, '2021-10-09': 75, '2021-10-02': 62, '2021-09-25': 67, '2021-09-18': 80, '2021-09-11': 76, '2021-09-04': 70, '2021-08-28': 68, '2021-08-21': 84, '2021-07-10': 88, '2017-08-05': 96}",72.78571429,10.39353213
Sand In My Boots,Morgan Wallen,"{'2021-11-06': 64, '2021-10-30': 74, '2021-10-23': 72, '2021-10-16': 94, '2021-04-03': 96, '2021-03-27': 80, '2021-03-20': 72, '2021-03-13': 68, '2021-03-06': 64, '2021-02-27': 57, '2021-02-20': 38, '2021-02-13': 32, '2021-02-06': 38, '2021-01-30': 40, '2021-01-23': 32}",61.4,20.57117725
'Til You Can't,Cody Johnson,"{'2021-11-06': 65, '2021-10-30': 76, '2021-10-23': 94}",78.33333333,11.95361405
